ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:40.086Z,0.999,1,0,0.001
2026-01-02T12:34:43.056Z,0.999,1,0,0.001
2026-01-02T12:34:48.056Z,0.999,1,0,0.001
2026-01-02T12:34:52.086Z,0.999,1,0,0.001
2026-01-02T12:34:58.110Z,0.999,1,0,0.001
2026-01-02T12:35:03.110Z,0.999,1,0,0.001
2026-01-02T12:35:09.160Z,0.999,1,0,0.001
2026-01-02T12:35:14.137Z,0.999,1,0,0.001
2026-01-02T12:35:17.152Z,0.999,1,0,0.001
2026-01-02T12:35:22.247Z,0.999,1,0,0.001
2026-01-02T12:35:27.189Z,0.999,1,0,0.001
2026-01-02T12:35:29.088Z,0.999,1,0,0.001
2026-01-02T12:35:31.199Z,0.999,1,0,0.001
2026-01-02T12:35:32.100Z,0.999,1,0,0.001
2026-01-02T12:35:34.223Z,0.999,1,0,0.001
2026-01-02T12:35:37.107Z,0.999,1,0,0.001
2026-01-02T12:35:38.240Z,0.999,1,0,0.001
2026-01-02T12:35:41.125Z,0.999,1,0,0.001
2026-01-02T12:35:43.249Z,0.999,1,0,0.001
2026-01-02T12:35:47.269Z,0.999,1,0,0.001
2026-01-02T12:35:48.155Z,0.999,1,0,0.001
2026-01-02T12:35:52.149Z,0.999,1,0,0.001
2026-01-02T12:35:53.320Z,0.999,1,0,0.001
2026-01-02T12:35:58.195Z,0.999,1,0,0.001
2026-01-02T12:36:03.208Z,0.999,1,0,0.001
2026-01-02T12:36:06.234Z,0.999,1,0,0.001
2026-01-02T12:36:09.334Z,0.999,1,0,0.001
2026-01-02T12:36:11.238Z,0.999,1,0,0.001
2026-01-02T12:36:16.253Z,0.999,1,0,0.001
2026-01-02T12:36:16.360Z,0.999,1,0,0.001
2026-01-02T12:36:19.376Z,0.999,1,0,0.001
2026-01-02T12:36:20.320Z,0.999,1,0,0.001
2026-01-02T12:36:22.394Z,0.999,1,0,0.001
2026-01-02T12:36:24.279Z,0.999,1,0,0.001
2026-01-02T12:36:27.349Z,0.999,1,0,0.001
2026-01-02T12:36:30.424Z,0.999,1,0,0.001
2026-01-02T12:36:32.326Z,0.999,1,0,0.001
2026-01-02T12:36:33.422Z,0.999,1,0,0.001
2026-01-02T12:36:36.346Z,0.999,1,0,0.001
2026-01-02T12:36:36.461Z,0.999,1,0,0.001
2026-01-02T12:36:39.461Z,0.999,1,0,0.001
2026-01-02T12:36:41.391Z,0.999,1,0,0.001
2026-01-02T12:36:41.475Z,0.999,1,0,0.001
2026-01-02T12:36:42.486Z,0.999,1,0,0.001
2026-01-02T12:36:48.486Z,0.999,1,0,0.001
2026-01-02T12:36:50.487Z,0.999,1,0,0.001
2026-01-02T12:36:53.517Z,0.999,1,0,0.001
2026-01-02T12:36:56.529Z,0.999,1,0,0.001
2026-01-02T12:36:57.465Z,0.999,1,0,0.001
2026-01-02T12:37:02.483Z,0.999,1,0,0.001
2026-01-02T12:37:02.570Z,0.999,1,0,0.001
2026-01-02T12:37:05.544Z,0.999,1,0,0.001
2026-01-02T12:37:09.500Z,0.999,1,0,0.001
2026-01-02T12:37:09.582Z,0.999,1,0,0.001
2026-01-02T12:37:14.550Z,0.999,1,0,0.001
2026-01-02T12:37:15.640Z,0.999,1,0,0.001
2026-01-02T12:37:19.536Z,0.999,1,0,0.001
2026-01-02T12:37:19.605Z,0.999,1,0,0.001
2026-01-02T12:37:23.549Z,0.999,1,0,0.001
2026-01-02T12:37:24.624Z,0.999,1,0,0.001
2026-01-02T12:37:26.553Z,0.999,1,0,0.001
2026-01-02T12:37:27.558Z,0.999,1,0,0.001
2026-01-02T12:37:30.707Z,0.999,1,0,0.001
2026-01-02T12:37:31.572Z,0.999,1,0,0.001
2026-01-02T12:37:33.590Z,0.999,1,0,0.001
2026-01-02T12:37:37.614Z,0.999,1,0,0.001
2026-01-02T12:37:38.604Z,0.999,1,0,0.001
2026-01-02T12:37:42.660Z,0.999,1,0,0.001
2026-01-02T12:37:44.652Z,0.999,1,0,0.001
2026-01-02T12:37:49.654Z,0.999,1,0,0.001
2026-01-02T12:37:50.669Z,0.999,1,0,0.001
2026-01-02T12:37:58.677Z,0.999,1,0,0.001
2026-01-02T12:38:02.778Z,0.999,1,0,0.001
2026-01-02T12:38:02.809Z,0.999,1,0,0.001
2026-01-02T12:38:03.706Z,0.999,1,0,0.001
2026-01-02T12:38:05.777Z,0.999,1,0,0.001
2026-01-02T12:38:08.731Z,0.999,1,0,0.001
2026-01-02T12:38:08.822Z,0.999,1,0,0.001
2026-01-02T12:38:13.753Z,0.999,1,0,0.001
2026-01-02T12:38:15.834Z,0.999,1,0,0.001
2026-01-02T12:38:17.772Z,0.999,1,0,0.001
2026-01-02T12:38:21.838Z,0.999,1,0,0.001
2026-01-02T12:38:23.783Z,0.999,1,0,0.001
2026-01-02T12:38:24.857Z,0.999,1,0,0.001
2026-01-02T12:38:28.809Z,0.999,1,0,0.001
2026-01-02T12:38:32.902Z,0.999,1,0,0.001
2026-01-02T12:38:38.899Z,0.999,1,0,0.001
2026-01-02T12:38:40.942Z,0.999,1,0,0.001
2026-01-02T12:38:46.983Z,0.999,1,0,0.001
2026-01-02T12:38:48.947Z,0.999,1,0,0.001
2026-01-02T12:39:01.188Z,0.999,1,0,0.001
2026-01-02T12:39:04.999Z,0.999,1,0,0.001
2026-01-02T12:39:06.973Z,0.999,1,0,0.001
2026-01-02T12:39:08.025Z,0.999,1,0,0.001
2026-01-02T12:39:10.018Z,0.999,1,0,0.001
2026-01-02T12:39:10.969Z,0.999,1,0,0.001
2026-01-02T12:39:14.043Z,0.999,1,0,0.001
2026-01-02T12:39:15.042Z,0.999,1,0,0.001
2026-01-02T12:39:16.023Z,0.999,1,0,0.001
2026-01-02T12:39:20.047Z,0.999,1,0,0.001
2026-01-02T12:39:22.053Z,0.999,1,0,0.001
2026-01-02T12:39:23.018Z,0.999,1,0,0.001
2026-01-02T12:39:26.068Z,0.999,1,0,0.001
2026-01-02T12:39:29.038Z,0.999,1,0,0.001
2026-01-02T12:39:30.080Z,0.999,1,0,0.001
2026-01-02T12:39:31.109Z,0.999,1,0,0.001
2026-01-02T12:39:32.046Z,0.999,1,0,0.001
2026-01-02T12:39:36.049Z,0.999,1,0,0.001
2026-01-02T12:39:37.107Z,0.999,1,0,0.001
2026-01-02T12:39:38.116Z,0.999,1,0,0.001
2026-01-02T12:39:41.133Z,0.999,1,0,0.001
2026-01-02T12:39:45.117Z,0.999,1,0,0.001
