ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:39.324Z,0.007,0.008,0.992,0.993
2026-01-02T12:34:42.039Z,0.007,0.008,0.992,0.993
2026-01-02T12:34:45.048Z,0.007,0.008,0.992,0.993
2026-01-02T12:34:49.057Z,0.007,0.008,0.992,0.993
2026-01-02T12:34:54.072Z,0.007,0.008,0.992,0.993
2026-01-02T12:34:57.082Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:01.093Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:05.120Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:08.193Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:13.144Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:16.177Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:19.173Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:23.172Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:26.205Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:28.369Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:30.208Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:31.081Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:33.220Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:34.107Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:38.114Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:38.236Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:42.242Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:43.131Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:45.274Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:46.146Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:49.287Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:50.159Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:52.288Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:54.166Z,0.007,0.008,0.992,0.993
2026-01-02T12:35:57.223Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:02.194Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:06.214Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:08.335Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:09.219Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:11.349Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:11.379Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:12.241Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:15.254Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:15.371Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:18.398Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:19.271Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:19.381Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:22.286Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:23.404Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:24.418Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:26.307Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:28.412Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:29.461Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:30.310Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:32.433Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:34.311Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:34.445Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:38.365Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:39.458Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:42.389Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:44.482Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:47.501Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:51.512Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:55.550Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:57.465Z,0.007,0.008,0.992,0.993
2026-01-02T12:36:59.474Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:00.474Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:03.849Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:04.491Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:04.540Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:07.499Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:07.573Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:08.530Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:11.585Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:12.516Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:13.518Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:15.613Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:16.616Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:18.541Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:18.630Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:21.561Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:22.547Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:22.639Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:26.643Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:28.573Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:29.661Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:32.595Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:33.672Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:34.680Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:36.616Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:37.676Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:40.620Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:44.639Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:47.702Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:51.674Z,0.007,0.008,0.992,0.993
2026-01-02T12:37:56.694Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:00.712Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:03.701Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:07.733Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:11.759Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:11.859Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:14.869Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:15.762Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:15.840Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:18.840Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:19.780Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:19.878Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:22.864Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:23.867Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:25.850Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:26.815Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:27.870Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:30.818Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:32.891Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:32.919Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:36.891Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:36.942Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:39.922Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:43.928Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:43.943Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:48.947Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:50.061Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:53.957Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:54.957Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:57.961Z,0.007,0.008,0.992,0.993
2026-01-02T12:38:58.978Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:02.024Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:02.243Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:04.952Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:06.024Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:06.059Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:08.972Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:10.022Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:10.986Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:12.985Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:14.024Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:14.980Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:17.987Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:18.055Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:21.073Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:22.012Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:23.008Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:25.072Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:27.023Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:28.025Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:29.075Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:31.038Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:33.085Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:33.097Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:36.058Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:36.135Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:38.095Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:40.086Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:40.157Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:43.079Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:44.132Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:46.090Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:48.124Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:49.198Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:51.119Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:52.116Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:53.164Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:54.138Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:56.183Z,0.007,0.008,0.992,0.993
2026-01-02T12:39:59.160Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:01.211Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:03.166Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:05.198Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:06.280Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:08.218Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:10.199Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:10.224Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:13.223Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:15.201Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:18.272Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:21.250Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:25.256Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:30.264Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:33.276Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:37.294Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:40.342Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:45.334Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:48.357Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:52.364Z,0.007,0.008,0.992,0.993
2026-01-02T12:40:56.379Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:00.403Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:04.422Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:07.438Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:11.594Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:12.441Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:16.460Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:18.463Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:21.491Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:25.491Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:25.508Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:30.511Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:31.526Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:34.523Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:36.582Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:37.552Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:41.590Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:42.598Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:46.600Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:49.623Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:51.676Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:54.666Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:55.646Z,0.007,0.008,0.992,0.993
2026-01-02T12:41:56.664Z,0.007,0.008,0.992,0.993
2026-01-02T12:42:00.665Z,0.007,0.008,0.992,0.993
2026-01-02T12:42:00.672Z,0.007,0.008,0.992,0.993
2026-01-02T12:42:02.672Z,0.007,0.008,0.992,0.993
2026-01-02T12:42:02.690Z,0.007,0.008,0.992,0.993
2026-01-02T12:42:05.677Z,0.007,0.008,0.992,0.993
2026-01-02T12:42:05.679Z,0.007,0.008,0.992,0.993
2026-01-02T12:42:07.700Z,0.007,0.008,0.992,0.993
