ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:39.391Z,0.001,0.002,0.998,0.999
2026-01-02T12:34:42.052Z,0.001,0.002,0.998,0.999
2026-01-02T12:34:45.046Z,0.001,0.002,0.998,0.999
2026-01-02T12:34:49.108Z,0.001,0.002,0.998,0.999
2026-01-02T12:34:54.074Z,0.001,0.002,0.998,0.999
2026-01-02T12:34:57.141Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:02.092Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:05.186Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:09.124Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:13.144Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:17.154Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:20.167Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:24.180Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:26.215Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:28.076Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:30.209Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:31.084Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:33.238Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:34.144Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:38.115Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:38.233Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:42.248Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:43.141Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:46.146Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:46.274Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:50.265Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:51.149Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:52.303Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:54.472Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:58.192Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:02.204Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:06.234Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:08.329Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:09.232Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:12.366Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:13.236Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:14.358Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:16.253Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:17.368Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:18.383Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:18.515Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:20.257Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:22.324Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:23.403Z,0.001,0.002,0.998,0.999
