ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:55.087Z,0,0.001,0.999,1
2026-01-02T12:35:00.082Z,0,0.001,0.999,1
2026-01-02T12:35:02.119Z,0,0.001,0.999,1
2026-01-02T12:35:12.151Z,0,0.001,0.999,1
2026-01-02T12:35:25.186Z,0,0.001,0.999,1
2026-01-02T12:35:32.267Z,0,0.001,0.999,1
2026-01-02T12:35:42.252Z,0,0.001,0.999,1
2026-01-02T12:35:44.125Z,0,0.001,0.999,1
2026-01-02T12:35:49.153Z,0,0.001,0.999,1
2026-01-02T12:35:51.163Z,0,0.001,0.999,1
2026-01-02T12:35:51.278Z,0,0.001,0.999,1
2026-01-02T12:35:56.421Z,0,0.001,0.999,1
2026-01-02T12:36:01.211Z,0,0.001,0.999,1
2026-01-02T12:36:01.324Z,0,0.001,0.999,1
2026-01-02T12:36:14.260Z,0,0.001,0.999,1
2026-01-02T12:36:21.285Z,0,0.001,0.999,1
2026-01-02T12:36:27.407Z,0,0.001,0.999,1
2026-01-02T12:36:32.309Z,0,0.001,0.999,1
2026-01-02T12:36:36.454Z,0,0.001,0.999,1
2026-01-02T12:36:40.389Z,0,0.001,0.999,1
2026-01-02T12:36:46.400Z,0,0.001,0.999,1
2026-01-02T12:36:46.484Z,0,0.001,0.999,1
2026-01-02T12:36:51.421Z,0,0.001,0.999,1
2026-01-02T12:36:52.500Z,0,0.001,0.999,1
2026-01-02T12:37:04.559Z,0,0.001,0.999,1
2026-01-02T12:37:12.589Z,0,0.001,0.999,1
2026-01-02T12:37:17.519Z,0,0.001,0.999,1
2026-01-02T12:37:25.584Z,0,0.001,0.999,1
2026-01-02T12:37:27.634Z,0,0.001,0.999,1
2026-01-02T12:37:34.599Z,0,0.001,0.999,1
2026-01-02T12:37:35.682Z,0,0.001,0.999,1
2026-01-02T12:37:42.620Z,0,0.001,0.999,1
2026-01-02T12:37:59.701Z,0,0.001,0.999,1
2026-01-02T12:38:01.700Z,0,0.001,0.999,1
2026-01-02T12:38:10.904Z,0,0.001,0.999,1
2026-01-02T12:38:12.737Z,0,0.001,0.999,1
2026-01-02T12:38:24.793Z,0,0.001,0.999,1
2026-01-02T12:38:25.860Z,0,0.001,0.999,1
2026-01-02T12:38:30.913Z,0,0.001,0.999,1
2026-01-02T12:38:31.820Z,0,0.001,0.999,1
2026-01-02T12:38:46.927Z,0,0.001,0.999,1
2026-01-02T12:38:58.030Z,0,0.001,0.999,1
2026-01-02T12:38:59.978Z,0,0.001,0.999,1
2026-01-02T12:39:07.006Z,0,0.001,0.999,1
2026-01-02T12:39:13.038Z,0,0.001,0.999,1
2026-01-02T12:39:16.034Z,0,0.001,0.999,1
2026-01-02T12:39:16.987Z,0,0.001,0.999,1
2026-01-02T12:39:26.070Z,0,0.001,0.999,1
2026-01-02T12:39:28.076Z,0,0.001,0.999,1
2026-01-02T12:39:33.149Z,0,0.001,0.999,1
2026-01-02T12:39:37.077Z,0,0.001,0.999,1
2026-01-02T12:39:42.173Z,0,0.001,0.999,1
2026-01-02T12:39:48.143Z,0,0.001,0.999,1
2026-01-02T12:39:50.118Z,0,0.001,0.999,1
2026-01-02T12:39:53.141Z,0,0.001,0.999,1
