ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:42.083Z,0,0.001,0.999,1
2026-01-02T12:34:47.047Z,0,0.001,0.999,1
2026-01-02T12:34:52.055Z,0,0.001,0.999,1
2026-01-02T12:34:58.097Z,0,0.001,0.999,1
2026-01-02T12:35:06.122Z,0,0.001,0.999,1
2026-01-02T12:35:11.129Z,0,0.001,0.999,1
2026-01-02T12:35:18.160Z,0,0.001,0.999,1
2026-01-02T12:35:24.193Z,0,0.001,0.999,1
2026-01-02T12:35:28.190Z,0,0.001,0.999,1
2026-01-02T12:35:32.101Z,0,0.001,0.999,1
2026-01-02T12:35:34.225Z,0,0.001,0.999,1
2026-01-02T12:35:35.109Z,0,0.001,0.999,1
2026-01-02T12:35:40.252Z,0,0.001,0.999,1
2026-01-02T12:35:41.113Z,0,0.001,0.999,1
2026-01-02T12:35:44.263Z,0,0.001,0.999,1
2026-01-02T12:35:47.157Z,0,0.001,0.999,1
2026-01-02T12:35:50.278Z,0,0.001,0.999,1
2026-01-02T12:35:54.325Z,0,0.001,0.999,1
2026-01-02T12:35:55.319Z,0,0.001,0.999,1
2026-01-02T12:36:00.190Z,0,0.001,0.999,1
2026-01-02T12:36:08.217Z,0,0.001,0.999,1
2026-01-02T12:36:13.296Z,0,0.001,0.999,1
2026-01-02T12:36:13.351Z,0,0.001,0.999,1
2026-01-02T12:36:17.262Z,0,0.001,0.999,1
2026-01-02T12:36:17.367Z,0,0.001,0.999,1
2026-01-02T12:36:23.287Z,0,0.001,0.999,1
2026-01-02T12:36:25.400Z,0,0.001,0.999,1
2026-01-02T12:36:29.320Z,0,0.001,0.999,1
2026-01-02T12:36:31.455Z,0,0.001,0.999,1
2026-01-02T12:36:35.318Z,0,0.001,0.999,1
2026-01-02T12:36:38.446Z,0,0.001,0.999,1
2026-01-02T12:36:39.352Z,0,0.001,0.999,1
2026-01-02T12:36:43.399Z,0,0.001,0.999,1
2026-01-02T12:36:45.481Z,0,0.001,0.999,1
2026-01-02T12:36:49.502Z,0,0.001,0.999,1
2026-01-02T12:36:57.534Z,0,0.001,0.999,1
2026-01-02T12:37:01.465Z,0,0.001,0.999,1
2026-01-02T12:37:01.857Z,0,0.001,0.999,1
2026-01-02T12:37:05.500Z,0,0.001,0.999,1
2026-01-02T12:37:06.585Z,0,0.001,0.999,1
2026-01-02T12:37:10.590Z,0,0.001,0.999,1
2026-01-02T12:37:13.528Z,0,0.001,0.999,1
2026-01-02T12:37:13.594Z,0,0.001,0.999,1
2026-01-02T12:37:14.590Z,0,0.001,0.999,1
2026-01-02T12:37:20.579Z,0,0.001,0.999,1
2026-01-02T12:37:20.651Z,0,0.001,0.999,1
2026-01-02T12:37:23.656Z,0,0.001,0.999,1
2026-01-02T12:37:24.558Z,0,0.001,0.999,1
2026-01-02T12:37:28.649Z,0,0.001,0.999,1
2026-01-02T12:37:31.683Z,0,0.001,0.999,1
2026-01-02T12:37:35.608Z,0,0.001,0.999,1
2026-01-02T12:37:41.678Z,0,0.001,0.999,1
2026-01-02T12:37:46.656Z,0,0.001,0.999,1
2026-01-02T12:37:52.679Z,0,0.001,0.999,1
2026-01-02T12:37:55.668Z,0,0.001,0.999,1
2026-01-02T12:37:57.684Z,0,0.001,0.999,1
2026-01-02T12:38:02.691Z,0,0.001,0.999,1
2026-01-02T12:38:05.711Z,0,0.001,0.999,1
2026-01-02T12:38:05.797Z,0,0.001,0.999,1
2026-01-02T12:38:08.846Z,0,0.001,0.999,1
2026-01-02T12:38:09.729Z,0,0.001,0.999,1
2026-01-02T12:38:10.736Z,0,0.001,0.999,1
2026-01-02T12:38:12.841Z,0,0.001,0.999,1
2026-01-02T12:38:17.758Z,0,0.001,0.999,1
2026-01-02T12:38:20.769Z,0,0.001,0.999,1
2026-01-02T12:38:22.847Z,0,0.001,0.999,1
2026-01-02T12:38:25.807Z,0,0.001,0.999,1
2026-01-02T12:38:27.797Z,0,0.001,0.999,1
2026-01-02T12:38:28.981Z,0,0.001,0.999,1
2026-01-02T12:38:35.893Z,0,0.001,0.999,1
2026-01-02T12:38:42.923Z,0,0.001,0.999,1
2026-01-02T12:38:52.005Z,0,0.001,0.999,1
2026-01-02T12:38:55.994Z,0,0.001,0.999,1
2026-01-02T12:39:01.168Z,0,0.001,0.999,1
2026-01-02T12:39:03.935Z,0,0.001,0.999,1
2026-01-02T12:39:12.005Z,0,0.001,0.999,1
2026-01-02T12:39:12.024Z,0,0.001,0.999,1
2026-01-02T12:39:17.039Z,0,0.001,0.999,1
2026-01-02T12:39:17.995Z,0,0.001,0.999,1
2026-01-02T12:39:24.068Z,0,0.001,0.999,1
2026-01-02T12:39:25.064Z,0,0.001,0.999,1
2026-01-02T12:39:32.058Z,0,0.001,0.999,1
2026-01-02T12:39:34.098Z,0,0.001,0.999,1
2026-01-02T12:39:39.187Z,0,0.001,0.999,1
2026-01-02T12:39:41.126Z,0,0.001,0.999,1
2026-01-02T12:39:43.142Z,0,0.001,0.999,1
2026-01-02T12:39:47.104Z,0,0.001,0.999,1
2026-01-02T12:39:51.157Z,0,0.001,0.999,1
2026-01-02T12:39:55.136Z,0,0.001,0.999,1
2026-01-02T12:39:55.175Z,0,0.001,0.999,1
2026-01-02T12:39:58.182Z,0,0.001,0.999,1
2026-01-02T12:40:02.159Z,0,0.001,0.999,1
2026-01-02T12:40:07.180Z,0,0.001,0.999,1
2026-01-02T12:40:14.204Z,0,0.001,0.999,1
2026-01-02T12:40:23.319Z,0,0.001,0.999,1
2026-01-02T12:40:29.264Z,0,0.001,0.999,1
2026-01-02T12:40:36.278Z,0,0.001,0.999,1
2026-01-02T12:40:41.319Z,0,0.001,0.999,1
2026-01-02T12:40:49.353Z,0,0.001,0.999,1
2026-01-02T12:40:55.381Z,0,0.001,0.999,1
2026-01-02T12:40:59.397Z,0,0.001,0.999,1
2026-01-02T12:41:03.394Z,0,0.001,0.999,1
2026-01-02T12:41:05.452Z,0,0.001,0.999,1
2026-01-02T12:41:07.430Z,0,0.001,0.999,1
2026-01-02T12:41:14.445Z,0,0.001,0.999,1
2026-01-02T12:41:15.458Z,0,0.001,0.999,1
2026-01-02T12:41:23.482Z,0,0.001,0.999,1
2026-01-02T12:41:27.498Z,0,0.001,0.999,1
2026-01-02T12:41:32.524Z,0,0.001,0.999,1
2026-01-02T12:41:37.540Z,0,0.001,0.999,1
2026-01-02T12:41:40.597Z,0,0.001,0.999,1
2026-01-02T12:41:48.615Z,0,0.001,0.999,1
2026-01-02T12:41:48.629Z,0,0.001,0.999,1
2026-01-02T12:41:52.702Z,0,0.001,0.999,1
2026-01-02T12:41:57.723Z,0,0.001,0.999,1
2026-01-02T12:41:58.667Z,0,0.001,0.999,1
2026-01-02T12:41:59.658Z,0,0.001,0.999,1
2026-01-02T12:42:01.681Z,0,0.001,0.999,1
2026-01-02T12:42:06.717Z,0,0.001,0.999,1
2026-01-02T12:42:06.807Z,0,0.001,0.999,1
2026-01-02T12:42:07.690Z,0,0.001,0.999,1
2026-01-02T12:42:11.748Z,0,0.001,0.999,1
2026-01-02T12:42:16.719Z,0,0.001,0.999,1
2026-01-02T12:42:17.733Z,0,0.001,0.999,1
2026-01-02T12:42:19.742Z,0,0.001,0.999,1
2026-01-02T12:42:21.752Z,0,0.001,0.999,1
2026-01-02T12:42:22.756Z,0,0.001,0.999,1
2026-01-02T12:42:26.771Z,0,0.001,0.999,1
2026-01-02T12:42:28.775Z,0,0.001,0.999,1
2026-01-02T12:42:29.814Z,0,0.001,0.999,1
2026-01-02T12:42:30.776Z,0,0.001,0.999,1
2026-01-02T12:42:33.798Z,0,0.001,0.999,1
2026-01-02T12:42:37.796Z,0,0.001,0.999,1
2026-01-02T12:42:37.805Z,0,0.001,0.999,1
2026-01-02T12:42:39.853Z,0,0.001,0.999,1
2026-01-02T12:42:40.819Z,0,0.001,0.999,1
2026-01-02T12:42:41.821Z,0,0.001,0.999,1
2026-01-02T12:42:45.832Z,0,0.001,0.999,1
2026-01-02T12:42:46.835Z,0,0.001,0.999,1
2026-01-02T12:42:49.857Z,0,0.001,0.999,1
2026-01-02T12:42:53.878Z,0,0.001,0.999,1
2026-01-02T12:42:54.879Z,0,0.001,0.999,1
2026-01-02T12:43:00.027Z,0,0.001,0.999,1
2026-01-02T12:43:00.886Z,0,0.001,0.999,1
2026-01-02T12:43:02.891Z,0,0.001,0.999,1
2026-01-02T12:43:07.923Z,0,0.001,0.999,1
2026-01-02T12:43:09.925Z,0,0.001,0.999,1
2026-01-02T12:43:11.926Z,0,0.001,0.999,1
2026-01-02T12:43:15.958Z,0,0.001,0.999,1
2026-01-02T12:43:16.950Z,0,0.001,0.999,1
2026-01-02T12:43:21.966Z,0,0.001,0.999,1
2026-01-02T12:43:22.004Z,0,0.001,0.999,1
2026-01-02T12:43:22.978Z,0,0.001,0.999,1
2026-01-02T12:43:26.988Z,0,0.001,0.999,1
2026-01-02T12:43:27.001Z,0,0.001,0.999,1
2026-01-02T12:43:35.035Z,0,0.001,0.999,1
2026-01-02T12:43:36.071Z,0,0.001,0.999,1
2026-01-02T12:43:44.057Z,0,0.001,0.999,1
2026-01-02T12:43:52.086Z,0,0.001,0.999,1
2026-01-02T12:43:56.102Z,0,0.001,0.999,1
2026-01-02T12:44:07.134Z,0,0.001,0.999,1
2026-01-02T12:44:12.174Z,0,0.001,0.999,1
2026-01-02T12:44:18.182Z,0,0.001,0.999,1
2026-01-02T12:44:24.178Z,0,0.001,0.999,1
2026-01-02T12:44:34.231Z,0,0.001,0.999,1
2026-01-02T12:44:40.246Z,0,0.001,0.999,1
2026-01-02T12:44:59.325Z,0,0.001,0.999,1
2026-01-02T12:45:09.367Z,0,0.001,0.999,1
2026-01-02T12:45:16.380Z,0,0.001,0.999,1
2026-01-02T12:45:26.436Z,0,0.001,0.999,1
2026-01-02T12:45:32.446Z,0,0.001,0.999,1
2026-01-02T12:45:45.517Z,0,0.001,0.999,1
2026-01-02T12:45:52.523Z,0,0.001,0.999,1
2026-01-02T12:45:56.538Z,0,0.001,0.999,1
2026-01-02T12:46:04.816Z,0,0.001,0.999,1
2026-01-02T12:46:09.834Z,0,0.001,0.999,1
2026-01-02T12:46:22.626Z,0,0.001,0.999,1
2026-01-02T12:46:23.899Z,0,0.001,0.999,1
2026-01-02T12:46:28.646Z,0,0.001,0.999,1
2026-01-02T12:46:28.657Z,0,0.001,0.999,1
2026-01-02T12:46:29.916Z,0,0.001,0.999,1
2026-01-02T12:46:34.939Z,0,0.001,0.999,1
2026-01-02T12:46:36.696Z,0,0.001,0.999,1
2026-01-02T12:46:40.751Z,0,0.001,0.999,1
2026-01-02T12:46:45.979Z,0,0.001,0.999,1
2026-01-02T12:46:46.718Z,0,0.001,0.999,1
2026-01-02T12:46:49.799Z,0,0.001,0.999,1
2026-01-02T12:46:55.763Z,0,0.001,0.999,1
2026-01-02T12:46:57.225Z,0,0.001,0.999,1
2026-01-02T12:47:01.774Z,0,0.001,0.999,1
2026-01-02T12:47:03.889Z,0,0.001,0.999,1
2026-01-02T12:47:04.046Z,0,0.001,0.999,1
2026-01-02T12:47:08.811Z,0,0.001,0.999,1
2026-01-02T12:47:12.075Z,0,0.001,0.999,1
2026-01-02T12:47:14.821Z,0,0.001,0.999,1
2026-01-02T12:47:17.840Z,0,0.001,0.999,1
2026-01-02T12:47:19.094Z,0,0.001,0.999,1
2026-01-02T12:47:22.850Z,0,0.001,0.999,1
2026-01-02T12:47:24.110Z,0,0.001,0.999,1
2026-01-02T12:47:24.153Z,0,0.001,0.999,1
2026-01-02T12:47:26.886Z,0,0.001,0.999,1
2026-01-02T12:47:32.169Z,0,0.001,0.999,1
2026-01-02T12:47:32.906Z,0,0.001,0.999,1
2026-01-02T12:47:36.923Z,0,0.001,0.999,1
2026-01-02T12:47:37.200Z,0,0.001,0.999,1
2026-01-02T12:47:41.171Z,0,0.001,0.999,1
2026-01-02T12:47:41.935Z,0,0.001,0.999,1
2026-01-02T12:47:43.199Z,0,0.001,0.999,1
2026-01-02T12:47:47.975Z,0,0.001,0.999,1
2026-01-02T12:47:50.231Z,0,0.001,0.999,1
2026-01-02T12:47:50.959Z,0,0.001,0.999,1
2026-01-02T12:47:53.983Z,0,0.001,0.999,1
2026-01-02T12:47:55.249Z,0,0.001,0.999,1
2026-01-02T12:47:58.026Z,0,0.001,0.999,1
2026-01-02T12:48:00.011Z,0,0.001,0.999,1
2026-01-02T12:48:00.273Z,0,0.001,0.999,1
2026-01-02T12:48:02.043Z,0,0.001,0.999,1
2026-01-02T12:48:04.281Z,0,0.001,0.999,1
2026-01-02T12:48:07.053Z,0,0.001,0.999,1
2026-01-02T12:48:07.326Z,0,0.001,0.999,1
2026-01-02T12:48:11.071Z,0,0.001,0.999,1
2026-01-02T12:48:14.081Z,0,0.001,0.999,1
2026-01-02T12:48:16.344Z,0,0.001,0.999,1
2026-01-02T12:48:16.348Z,0,0.001,0.999,1
2026-01-02T12:48:22.404Z,0,0.001,0.999,1
2026-01-02T12:48:23.116Z,0,0.001,0.999,1
2026-01-02T12:48:25.135Z,0,0.001,0.999,1
2026-01-02T12:48:25.517Z,0,0.001,0.999,1
2026-01-02T12:48:32.156Z,0,0.001,0.999,1
2026-01-02T12:48:33.407Z,0,0.001,0.999,1
2026-01-02T12:48:35.425Z,0,0.001,0.999,1
2026-01-02T12:48:37.172Z,0,0.001,0.999,1
2026-01-02T12:48:39.458Z,0,0.001,0.999,1
2026-01-02T12:48:41.216Z,0,0.001,0.999,1
2026-01-02T12:48:46.218Z,0,0.001,0.999,1
2026-01-02T12:48:48.467Z,0,0.001,0.999,1
2026-01-02T12:48:49.330Z,0,0.001,0.999,1
2026-01-02T12:48:50.532Z,0,0.001,0.999,1
2026-01-02T12:48:52.233Z,0,0.001,0.999,1
2026-01-02T12:48:58.507Z,0,0.001,0.999,1
2026-01-02T12:49:01.535Z,0,0.001,0.999,1
2026-01-02T12:49:07.535Z,0,0.001,0.999,1
2026-01-02T12:49:11.596Z,0,0.001,0.999,1
2026-01-02T12:49:12.567Z,0,0.001,0.999,1
2026-01-02T12:49:18.601Z,0,0.001,0.999,1
2026-01-02T12:49:23.615Z,0,0.001,0.999,1
2026-01-02T12:49:28.624Z,0,0.001,0.999,1
2026-01-02T12:49:35.651Z,0,0.001,0.999,1
2026-01-02T12:49:37.669Z,0,0.001,0.999,1
2026-01-02T12:49:43.679Z,0,0.001,0.999,1
2026-01-02T12:49:46.680Z,0,0.001,0.999,1
2026-01-02T12:49:53.712Z,0,0.001,0.999,1
2026-01-02T12:49:55.713Z,0,0.001,0.999,1
2026-01-02T12:50:03.749Z,0,0.001,0.999,1
2026-01-02T12:51:01.842Z,0,0.001,0.999,1
2026-01-02T12:51:05.743Z,0,0.001,0.999,1
2026-01-02T12:51:08.783Z,0,0.001,0.999,1
2026-01-02T12:51:14.789Z,0,0.001,0.999,1
2026-01-02T12:51:20.834Z,0,0.001,0.999,1
2026-01-02T12:51:22.810Z,0,0.001,0.999,1
2026-01-02T12:51:30.860Z,0,0.001,0.999,1
