ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:55.082Z,0.14,0.15,0.85,0.86
2026-01-02T12:34:59.098Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:02.103Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:12.138Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:25.189Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:32.231Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:42.256Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:44.128Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:47.170Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:51.163Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:51.273Z,0.14,0.15,0.85,0.86
2026-01-02T12:35:56.317Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:01.205Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:01.338Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:14.249Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:21.268Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:26.415Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:31.318Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:36.438Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:40.384Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:46.397Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:46.483Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:50.449Z,0.14,0.15,0.85,0.86
2026-01-02T12:36:52.502Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:04.557Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:12.589Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:17.539Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:25.584Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:27.633Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:34.605Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:35.678Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:42.615Z,0.14,0.15,0.85,0.86
2026-01-02T12:37:59.697Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:00.706Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:11.802Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:12.755Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:23.882Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:24.781Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:29.876Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:31.832Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:47.934Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:57.969Z,0.14,0.15,0.85,0.86
2026-01-02T12:38:59.022Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:07.006Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:12.030Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:15.977Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:16.065Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:26.060Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:28.074Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:33.103Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:37.064Z,0.14,0.15,0.85,0.86
2026-01-02T12:39:42.132Z,0.14,0.15,0.85,0.86
