ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:40.208Z,0.999,1,0,0.001
2026-01-02T12:34:44.043Z,0.999,1,0,0.001
2026-01-02T12:34:48.084Z,0.999,1,0,0.001
2026-01-02T12:34:53.076Z,0.999,1,0,0.001
2026-01-02T12:34:59.093Z,0.999,1,0,0.001
2026-01-02T12:35:03.122Z,0.999,1,0,0.001
2026-01-02T12:35:10.159Z,0.999,1,0,0.001
2026-01-02T12:35:14.156Z,0.999,1,0,0.001
2026-01-02T12:35:18.159Z,0.999,1,0,0.001
2026-01-02T12:35:23.175Z,0.999,1,0,0.001
2026-01-02T12:35:27.198Z,0.999,1,0,0.001
2026-01-02T12:35:29.066Z,0.999,1,0,0.001
2026-01-02T12:35:31.206Z,0.999,1,0,0.001
2026-01-02T12:35:33.097Z,0.999,1,0,0.001
2026-01-02T12:35:35.225Z,0.999,1,0,0.001
2026-01-02T12:35:37.114Z,0.999,1,0,0.001
2026-01-02T12:35:39.234Z,0.999,1,0,0.001
2026-01-02T12:35:42.120Z,0.999,1,0,0.001
2026-01-02T12:35:44.254Z,0.999,1,0,0.001
2026-01-02T12:35:48.284Z,0.999,1,0,0.001
2026-01-02T12:35:49.151Z,0.999,1,0,0.001
2026-01-02T12:35:52.209Z,0.999,1,0,0.001
2026-01-02T12:35:53.299Z,0.999,1,0,0.001
2026-01-02T12:35:59.182Z,0.999,1,0,0.001
2026-01-02T12:36:03.217Z,0.999,1,0,0.001
2026-01-02T12:36:07.215Z,0.999,1,0,0.001
2026-01-02T12:36:10.351Z,0.999,1,0,0.001
2026-01-02T12:36:12.234Z,0.999,1,0,0.001
2026-01-02T12:36:15.365Z,0.999,1,0,0.001
2026-01-02T12:36:17.253Z,0.999,1,0,0.001
2026-01-02T12:36:20.393Z,0.999,1,0,0.001
2026-01-02T12:36:21.272Z,0.999,1,0,0.001
2026-01-02T12:36:24.313Z,0.999,1,0,0.001
2026-01-02T12:36:24.389Z,0.999,1,0,0.001
2026-01-02T12:36:28.311Z,0.999,1,0,0.001
2026-01-02T12:36:30.424Z,0.999,1,0,0.001
2026-01-02T12:36:33.320Z,0.999,1,0,0.001
2026-01-02T12:36:33.437Z,0.999,1,0,0.001
2026-01-02T12:36:37.330Z,0.999,1,0,0.001
2026-01-02T12:36:37.471Z,0.999,1,0,0.001
2026-01-02T12:36:40.469Z,0.999,1,0,0.001
2026-01-02T12:36:42.389Z,0.999,1,0,0.001
2026-01-02T12:36:42.468Z,0.999,1,0,0.001
2026-01-02T12:36:43.472Z,0.999,1,0,0.001
2026-01-02T12:36:48.506Z,0.999,1,0,0.001
2026-01-02T12:36:50.512Z,0.999,1,0,0.001
2026-01-02T12:36:54.515Z,0.999,1,0,0.001
2026-01-02T12:36:57.527Z,0.999,1,0,0.001
2026-01-02T12:36:58.461Z,0.999,1,0,0.001
2026-01-02T12:37:03.467Z,0.999,1,0,0.001
2026-01-02T12:37:03.551Z,0.999,1,0,0.001
2026-01-02T12:37:06.549Z,0.999,1,0,0.001
2026-01-02T12:37:09.507Z,0.999,1,0,0.001
2026-01-02T12:37:09.580Z,0.999,1,0,0.001
2026-01-02T12:37:15.506Z,0.999,1,0,0.001
2026-01-02T12:37:16.602Z,0.999,1,0,0.001
2026-01-02T12:37:20.569Z,0.999,1,0,0.001
2026-01-02T12:37:20.616Z,0.999,1,0,0.001
2026-01-02T12:37:24.558Z,0.999,1,0,0.001
2026-01-02T12:37:25.638Z,0.999,1,0,0.001
2026-01-02T12:37:26.571Z,0.999,1,0,0.001
2026-01-02T12:37:27.575Z,0.999,1,0,0.001
2026-01-02T12:37:31.587Z,0.999,1,0,0.001
2026-01-02T12:37:31.672Z,0.999,1,0,0.001
2026-01-02T12:37:34.605Z,0.999,1,0,0.001
2026-01-02T12:37:36.686Z,0.999,1,0,0.001
2026-01-02T12:37:37.680Z,0.999,1,0,0.001
2026-01-02T12:37:38.652Z,0.999,1,0,0.001
2026-01-02T12:37:43.637Z,0.999,1,0,0.001
2026-01-02T12:37:45.643Z,0.999,1,0,0.001
2026-01-02T12:37:50.651Z,0.999,1,0,0.001
2026-01-02T12:37:51.667Z,0.999,1,0,0.001
2026-01-02T12:37:58.719Z,0.999,1,0,0.001
2026-01-02T12:38:04.712Z,0.999,1,0,0.001
2026-01-02T12:38:04.774Z,0.999,1,0,0.001
2026-01-02T12:38:08.813Z,0.999,1,0,0.001
2026-01-02T12:38:09.774Z,0.999,1,0,0.001
2026-01-02T12:38:13.782Z,0.999,1,0,0.001
2026-01-02T12:38:16.833Z,0.999,1,0,0.001
2026-01-02T12:38:18.756Z,0.999,1,0,0.001
2026-01-02T12:38:21.910Z,0.999,1,0,0.001
2026-01-02T12:38:24.780Z,0.999,1,0,0.001
2026-01-02T12:38:26.941Z,0.999,1,0,0.001
2026-01-02T12:38:28.828Z,0.999,1,0,0.001
2026-01-02T12:38:34.938Z,0.999,1,0,0.001
2026-01-02T12:38:38.929Z,0.999,1,0,0.001
2026-01-02T12:38:41.917Z,0.999,1,0,0.001
2026-01-02T12:38:47.944Z,0.999,1,0,0.001
2026-01-02T12:38:50.964Z,0.999,1,0,0.001
2026-01-02T12:38:52.961Z,0.999,1,0,0.001
2026-01-02T12:39:01.175Z,0.999,1,0,0.001
2026-01-02T12:39:04.998Z,0.999,1,0,0.001
2026-01-02T12:39:06.950Z,0.999,1,0,0.001
2026-01-02T12:39:09.044Z,0.999,1,0,0.001
2026-01-02T12:39:11.028Z,0.999,1,0,0.001
2026-01-02T12:39:11.965Z,0.999,1,0,0.001
2026-01-02T12:39:15.033Z,0.999,1,0,0.001
2026-01-02T12:39:16.026Z,0.999,1,0,0.001
2026-01-02T12:39:17.022Z,0.999,1,0,0.001
2026-01-02T12:39:21.049Z,0.999,1,0,0.001
2026-01-02T12:39:23.056Z,0.999,1,0,0.001
2026-01-02T12:39:24.052Z,0.999,1,0,0.001
2026-01-02T12:39:27.058Z,0.999,1,0,0.001
2026-01-02T12:39:29.066Z,0.999,1,0,0.001
2026-01-02T12:39:31.092Z,0.999,1,0,0.001
2026-01-02T12:39:32.109Z,0.999,1,0,0.001
2026-01-02T12:39:35.068Z,0.999,1,0,0.001
2026-01-02T12:39:38.128Z,0.999,1,0,0.001
2026-01-02T12:39:39.069Z,0.999,1,0,0.001
2026-01-02T12:39:39.127Z,0.999,1,0,0.001
2026-01-02T12:39:42.132Z,0.999,1,0,0.001
2026-01-02T12:39:44.086Z,0.999,1,0,0.001
2026-01-02T12:39:46.140Z,0.999,1,0,0.001
2026-01-02T12:39:48.141Z,0.999,1,0,0.001
2026-01-02T12:39:50.131Z,0.999,1,0,0.001
2026-01-02T12:39:52.170Z,0.999,1,0,0.001
2026-01-02T12:39:54.183Z,0.999,1,0,0.001
2026-01-02T12:39:56.146Z,0.999,1,0,0.001
2026-01-02T12:39:59.195Z,0.999,1,0,0.001
2026-01-02T12:40:00.159Z,0.999,1,0,0.001
2026-01-02T12:40:00.232Z,0.999,1,0,0.001
2026-01-02T12:40:01.156Z,0.999,1,0,0.001
2026-01-02T12:40:04.205Z,0.999,1,0,0.001
2026-01-02T12:40:05.206Z,0.999,1,0,0.001
2026-01-02T12:40:06.179Z,0.999,1,0,0.001
2026-01-02T12:40:07.249Z,0.999,1,0,0.001
2026-01-02T12:40:12.214Z,0.999,1,0,0.001
2026-01-02T12:40:13.197Z,0.999,1,0,0.001
2026-01-02T12:40:16.215Z,0.999,1,0,0.001
2026-01-02T12:40:21.229Z,0.999,1,0,0.001
2026-01-02T12:40:23.252Z,0.999,1,0,0.001
2026-01-02T12:40:27.291Z,0.999,1,0,0.001
