ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:38.845Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:41.048Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:45.046Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:49.061Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:53.111Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:56.126Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:01.103Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:05.091Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:08.125Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:13.146Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:16.158Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:19.153Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:23.172Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:26.200Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:28.209Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:30.091Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:30.195Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:32.201Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:34.094Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:37.239Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:38.113Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:41.252Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:42.126Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:45.156Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:45.269Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:49.278Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:50.147Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:52.287Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:54.166Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:57.202Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:02.190Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:05.225Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:07.403Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:08.224Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:11.344Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:11.352Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:12.230Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:15.244Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:16.360Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:17.381Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:19.260Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:19.379Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:22.258Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:22.398Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:24.402Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:26.293Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:27.415Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:29.320Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:29.410Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:32.433Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:33.327Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:34.434Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:38.330Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:38.468Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:42.391Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:44.487Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:47.488Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:51.497Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:55.522Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:56.455Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:59.534Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:00.465Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:03.549Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:04.462Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:04.508Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:06.512Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:07.572Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:08.493Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:11.508Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:11.550Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:11.572Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:14.610Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:16.543Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:17.550Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:18.630Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:21.539Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:22.556Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:22.628Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:26.633Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:28.573Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:29.646Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:32.590Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:33.673Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:34.715Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:36.601Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:36.696Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:40.628Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:43.681Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:47.700Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:51.655Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:56.758Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:59.694Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:02.778Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:07.719Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:11.759Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:11.838Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:14.821Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:15.756Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:16.844Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:18.770Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:18.829Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:19.851Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:22.786Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:23.007Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:24.866Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:26.790Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:27.868Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:30.802Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:30.870Z,0.002,0.003,0.997,0.998
