ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:40.080Z,0.009,0.01,0.99,0.991
2026-01-02T12:34:44.057Z,0.009,0.01,0.99,0.991
2026-01-02T12:34:48.082Z,0.009,0.01,0.99,0.991
2026-01-02T12:34:53.068Z,0.009,0.01,0.99,0.991
2026-01-02T12:34:59.087Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:03.136Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:10.119Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:14.164Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:18.151Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:22.256Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:27.199Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:29.094Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:31.209Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:33.090Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:35.245Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:37.114Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:39.248Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:42.120Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:44.283Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:47.280Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:49.148Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:52.161Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:53.294Z,0.009,0.01,0.99,0.991
2026-01-02T12:35:59.178Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:03.210Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:07.212Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:10.341Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:12.225Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:15.371Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:16.262Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:20.276Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:21.396Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:24.289Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:24.390Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:28.311Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:30.427Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:33.342Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:33.439Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:37.324Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:37.461Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:40.485Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:41.455Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:42.466Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:43.490Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:48.506Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:50.503Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:54.518Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:57.450Z,0.009,0.01,0.99,0.991
2026-01-02T12:36:57.520Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:01.550Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:03.551Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:04.491Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:09.550Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:09.579Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:15.513Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:16.605Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:19.587Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:20.609Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:23.549Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:25.640Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:26.563Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:27.590Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:31.598Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:31.661Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:33.611Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:36.682Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:37.609Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:38.614Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:43.630Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:45.636Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:50.659Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:51.655Z,0.009,0.01,0.99,0.991
2026-01-02T12:37:58.681Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:04.720Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:04.800Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:08.777Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:08.818Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:13.750Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:16.827Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:18.766Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:21.016Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:23.848Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:26.862Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:28.804Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:33.890Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:37.897Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:41.989Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:47.935Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:50.956Z,0.009,0.01,0.99,0.991
2026-01-02T12:38:51.983Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:02.938Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:04.990Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:07.977Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:09.007Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:10.965Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:11.019Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:15.024Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:16.036Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:16.985Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:21.051Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:23.053Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:24.041Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:26.074Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:29.036Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:31.076Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:32.092Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:35.060Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:38.108Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:38.119Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:39.107Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:42.125Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:44.086Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:45.156Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:47.142Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:50.117Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:52.157Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:54.170Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:56.152Z,0.009,0.01,0.99,0.991
2026-01-02T12:39:59.188Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:00.150Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:00.179Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:01.156Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:04.197Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:05.190Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:06.180Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:07.234Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:11.202Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:12.203Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:16.225Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:21.235Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:23.255Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:27.270Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:28.346Z,0.009,0.01,0.99,0.991
2026-01-02T12:40:32.284Z,0.009,0.01,0.99,0.991
