ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:39.415Z,0.999,1,0,0.001
2026-01-02T12:34:42.047Z,0.999,1,0,0.001
2026-01-02T12:34:45.070Z,0.999,1,0,0.001
2026-01-02T12:34:49.064Z,0.999,1,0,0.001
2026-01-02T12:34:54.073Z,0.999,1,0,0.001
2026-01-02T12:34:57.090Z,0.999,1,0,0.001
2026-01-02T12:35:01.099Z,0.999,1,0,0.001
2026-01-02T12:35:05.115Z,0.999,1,0,0.001
2026-01-02T12:35:09.121Z,0.999,1,0,0.001
2026-01-02T12:35:13.138Z,0.999,1,0,0.001
2026-01-02T12:35:17.158Z,0.999,1,0,0.001
2026-01-02T12:35:20.164Z,0.999,1,0,0.001
2026-01-02T12:35:23.182Z,0.999,1,0,0.001
2026-01-02T12:35:26.212Z,0.999,1,0,0.001
2026-01-02T12:35:28.374Z,0.999,1,0,0.001
2026-01-02T12:35:30.206Z,0.999,1,0,0.001
2026-01-02T12:35:31.193Z,0.999,1,0,0.001
2026-01-02T12:35:33.215Z,0.999,1,0,0.001
2026-01-02T12:35:34.117Z,0.999,1,0,0.001
2026-01-02T12:35:38.114Z,0.999,1,0,0.001
2026-01-02T12:35:38.229Z,0.999,1,0,0.001
2026-01-02T12:35:42.252Z,0.999,1,0,0.001
2026-01-02T12:35:43.131Z,0.999,1,0,0.001
2026-01-02T12:35:46.141Z,0.999,1,0,0.001
2026-01-02T12:35:46.268Z,0.999,1,0,0.001
2026-01-02T12:35:49.279Z,0.999,1,0,0.001
2026-01-02T12:35:50.204Z,0.999,1,0,0.001
2026-01-02T12:35:52.287Z,0.999,1,0,0.001
2026-01-02T12:35:54.182Z,0.999,1,0,0.001
2026-01-02T12:35:58.174Z,0.999,1,0,0.001
2026-01-02T12:36:02.212Z,0.999,1,0,0.001
2026-01-02T12:36:06.218Z,0.999,1,0,0.001
2026-01-02T12:36:08.347Z,0.999,1,0,0.001
2026-01-02T12:36:09.236Z,0.999,1,0,0.001
2026-01-02T12:36:10.346Z,0.999,1,0,0.001
2026-01-02T12:36:12.340Z,0.999,1,0,0.001
2026-01-02T12:36:13.237Z,0.999,1,0,0.001
2026-01-02T12:36:15.256Z,0.999,1,0,0.001
2026-01-02T12:36:15.359Z,0.999,1,0,0.001
2026-01-02T12:36:18.388Z,0.999,1,0,0.001
2026-01-02T12:36:19.302Z,0.999,1,0,0.001
2026-01-02T12:36:19.378Z,0.999,1,0,0.001
2026-01-02T12:36:22.280Z,0.999,1,0,0.001
2026-01-02T12:36:23.398Z,0.999,1,0,0.001
2026-01-02T12:36:23.413Z,0.999,1,0,0.001
2026-01-02T12:36:26.304Z,0.999,1,0,0.001
2026-01-02T12:36:28.414Z,0.999,1,0,0.001
2026-01-02T12:36:29.430Z,0.999,1,0,0.001
2026-01-02T12:36:30.333Z,0.999,1,0,0.001
2026-01-02T12:36:32.445Z,0.999,1,0,0.001
2026-01-02T12:36:34.315Z,0.999,1,0,0.001
2026-01-02T12:36:34.452Z,0.999,1,0,0.001
2026-01-02T12:36:39.336Z,0.999,1,0,0.001
2026-01-02T12:36:39.469Z,0.999,1,0,0.001
2026-01-02T12:36:42.392Z,0.999,1,0,0.001
2026-01-02T12:36:44.487Z,0.999,1,0,0.001
2026-01-02T12:36:47.491Z,0.999,1,0,0.001
2026-01-02T12:36:51.503Z,0.999,1,0,0.001
2026-01-02T12:36:56.520Z,0.999,1,0,0.001
2026-01-02T12:36:57.465Z,0.999,1,0,0.001
2026-01-02T12:37:01.531Z,0.999,1,0,0.001
2026-01-02T12:37:04.570Z,0.999,1,0,0.001
2026-01-02T12:37:05.463Z,0.999,1,0,0.001
2026-01-02T12:37:05.523Z,0.999,1,0,0.001
2026-01-02T12:37:05.567Z,0.999,1,0,0.001
2026-01-02T12:37:07.479Z,0.999,1,0,0.001
2026-01-02T12:37:07.589Z,0.999,1,0,0.001
2026-01-02T12:37:09.504Z,0.999,1,0,0.001
2026-01-02T12:37:11.581Z,0.999,1,0,0.001
2026-01-02T12:37:12.518Z,0.999,1,0,0.001
2026-01-02T12:37:13.512Z,0.999,1,0,0.001
2026-01-02T12:37:15.603Z,0.999,1,0,0.001
2026-01-02T12:37:17.529Z,0.999,1,0,0.001
2026-01-02T12:37:18.534Z,0.999,1,0,0.001
2026-01-02T12:37:19.605Z,0.999,1,0,0.001
2026-01-02T12:37:21.557Z,0.999,1,0,0.001
2026-01-02T12:37:22.572Z,0.999,1,0,0.001
2026-01-02T12:37:23.637Z,0.999,1,0,0.001
2026-01-02T12:37:26.645Z,0.999,1,0,0.001
2026-01-02T12:37:28.579Z,0.999,1,0,0.001
2026-01-02T12:37:30.649Z,0.999,1,0,0.001
2026-01-02T12:37:32.640Z,0.999,1,0,0.001
2026-01-02T12:37:34.659Z,0.999,1,0,0.001
2026-01-02T12:37:35.660Z,0.999,1,0,0.001
2026-01-02T12:37:36.612Z,0.999,1,0,0.001
2026-01-02T12:37:37.687Z,0.999,1,0,0.001
2026-01-02T12:37:40.751Z,0.999,1,0,0.001
2026-01-02T12:37:44.639Z,0.999,1,0,0.001
2026-01-02T12:37:48.654Z,0.999,1,0,0.001
2026-01-02T12:37:52.652Z,0.999,1,0,0.001
2026-01-02T12:37:56.706Z,0.999,1,0,0.001
2026-01-02T12:38:00.718Z,0.999,1,0,0.001
2026-01-02T12:38:03.701Z,0.999,1,0,0.001
2026-01-02T12:38:07.738Z,0.999,1,0,0.001
2026-01-02T12:38:11.748Z,0.999,1,0,0.001
2026-01-02T12:38:11.817Z,0.999,1,0,0.001
2026-01-02T12:38:14.823Z,0.999,1,0,0.001
2026-01-02T12:38:15.760Z,0.999,1,0,0.001
2026-01-02T12:38:15.839Z,0.999,1,0,0.001
2026-01-02T12:38:18.836Z,0.999,1,0,0.001
2026-01-02T12:38:19.779Z,0.999,1,0,0.001
2026-01-02T12:38:20.846Z,0.999,1,0,0.001
2026-01-02T12:38:22.788Z,0.999,1,0,0.001
2026-01-02T12:38:24.848Z,0.999,1,0,0.001
2026-01-02T12:38:25.865Z,0.999,1,0,0.001
2026-01-02T12:38:26.799Z,0.999,1,0,0.001
