ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:43.049Z,0.011,0.012,0.988,0.989
2026-01-02T12:34:47.133Z,0.011,0.012,0.988,0.989
2026-01-02T12:34:52.057Z,0.011,0.012,0.988,0.989
2026-01-02T12:34:58.101Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:06.112Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:11.222Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:19.153Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:24.183Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:28.191Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:31.089Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:34.235Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:36.111Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:40.232Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:41.115Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:45.264Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:47.147Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:50.280Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:54.293Z,0.011,0.012,0.988,0.989
2026-01-02T12:35:55.179Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:00.207Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:08.217Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:14.250Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:14.356Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:16.397Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:17.270Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:23.295Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:25.426Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:29.320Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:31.457Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:35.327Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:38.460Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:40.384Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:43.446Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:45.478Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:49.494Z,0.011,0.012,0.988,0.989
2026-01-02T12:36:58.550Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:01.493Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:06.491Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:06.585Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:07.541Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:10.588Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:13.584Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:14.519Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:14.581Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:20.569Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:21.622Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:24.573Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:24.645Z,0.011,0.012,0.988,0.989
2026-01-02T12:37:28.654Z,0.011,0.012,0.988,0.989
