ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:35:08.113Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:10.136Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:16.158Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:20.171Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:37.221Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:46.267Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:57.209Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:58.307Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:59.200Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:04.331Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:05.225Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:09.344Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:11.238Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:20.370Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:27.328Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:36.327Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:47.409Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:53.434Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:59.454Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:08.492Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:28.634Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:37.708Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:38.681Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:45.710Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:47.721Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:54.808Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:55.780Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:01.839Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:19.778Z,0.001,0.002,0.998,0.999
