ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:35:08.124Z,0.06,0.07,0.93,0.94
2026-01-02T12:35:11.140Z,0.06,0.07,0.93,0.94
2026-01-02T12:35:16.141Z,0.06,0.07,0.93,0.94
2026-01-02T12:35:21.154Z,0.06,0.07,0.93,0.94
2026-01-02T12:35:37.225Z,0.06,0.07,0.93,0.94
2026-01-02T12:35:47.258Z,0.06,0.07,0.93,0.94
2026-01-02T12:35:57.183Z,0.06,0.07,0.93,0.94
2026-01-02T12:35:58.307Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:00.186Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:04.320Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:05.210Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:09.339Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:11.410Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:20.409Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:27.301Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:36.327Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:47.416Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:53.444Z,0.06,0.07,0.93,0.94
2026-01-02T12:36:59.459Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:08.493Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:29.639Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:38.679Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:38.701Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:45.717Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:48.735Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:53.763Z,0.06,0.07,0.93,0.94
2026-01-02T12:37:56.758Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:02.783Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:21.772Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:31.809Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:35.848Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:37.865Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:39.860Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:45.884Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:48.884Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:53.961Z,0.06,0.07,0.93,0.94
2026-01-02T12:38:59.942Z,0.06,0.07,0.93,0.94
2026-01-02T12:39:04.016Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:24.264Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:27.287Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:28.302Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:31.314Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:37.374Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:41.341Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:43.346Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:51.374Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:52.397Z,0.06,0.07,0.93,0.94
2026-01-02T12:40:54.380Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:02.406Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:12.476Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:16.451Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:18.468Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:20.468Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:21.475Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:24.472Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:29.495Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:35.537Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:36.539Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:40.598Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:43.587Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:47.654Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:49.642Z,0.06,0.07,0.93,0.94
2026-01-02T12:41:54.649Z,0.06,0.07,0.93,0.94
2026-01-02T12:42:04.673Z,0.06,0.07,0.93,0.94
2026-01-02T12:42:14.701Z,0.06,0.07,0.93,0.94
2026-01-02T12:42:34.798Z,0.06,0.07,0.93,0.94
2026-01-02T12:42:45.883Z,0.06,0.07,0.93,0.94
2026-01-02T12:43:34.036Z,0.06,0.07,0.93,0.94
2026-01-02T12:43:56.084Z,0.06,0.07,0.93,0.94
2026-01-02T12:44:31.222Z,0.06,0.07,0.93,0.94
2026-01-02T12:44:38.232Z,0.06,0.07,0.93,0.94
2026-01-02T12:44:42.253Z,0.06,0.07,0.93,0.94
2026-01-02T12:44:52.284Z,0.06,0.07,0.93,0.94
2026-01-02T12:44:52.338Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:10.363Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:34.465Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:37.716Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:46.757Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:47.642Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:48.747Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:52.811Z,0.06,0.07,0.93,0.94
2026-01-02T12:45:59.798Z,0.06,0.07,0.93,0.94
2026-01-02T12:46:00.566Z,0.06,0.07,0.93,0.94
2026-01-02T12:46:21.878Z,0.06,0.07,0.93,0.94
2026-01-02T12:46:25.647Z,0.06,0.07,0.93,0.94
2026-01-02T12:46:38.010Z,0.06,0.07,0.93,0.94
2026-01-02T12:46:43.701Z,0.06,0.07,0.93,0.94
2026-01-02T12:46:59.017Z,0.06,0.07,0.93,0.94
2026-01-02T12:47:16.071Z,0.06,0.07,0.93,0.94
2026-01-02T12:47:34.161Z,0.06,0.07,0.93,0.94
2026-01-02T12:47:41.983Z,0.06,0.07,0.93,0.94
2026-01-02T12:47:51.213Z,0.06,0.07,0.93,0.94
2026-01-02T12:47:52.969Z,0.06,0.07,0.93,0.94
2026-01-02T12:48:09.098Z,0.06,0.07,0.93,0.94
2026-01-02T12:48:21.114Z,0.06,0.07,0.93,0.94
2026-01-02T12:48:51.493Z,0.06,0.07,0.93,0.94
2026-01-02T12:49:04.531Z,0.06,0.07,0.93,0.94
2026-01-02T12:49:26.712Z,0.06,0.07,0.93,0.94
2026-01-02T12:50:37.648Z,0.06,0.07,0.93,0.94
2026-01-02T12:50:42.656Z,0.06,0.07,0.93,0.94
2026-01-02T12:50:43.657Z,0.06,0.07,0.93,0.94
2026-01-02T12:51:10.767Z,0.06,0.07,0.93,0.94
2026-01-02T12:51:25.841Z,0.06,0.07,0.93,0.94
2026-01-02T12:51:35.868Z,0.06,0.07,0.93,0.94
2026-01-02T12:51:52.924Z,0.06,0.07,0.93,0.94
2026-01-02T12:51:52.938Z,0.06,0.07,0.93,0.94
2026-01-02T12:51:53.159Z,0.06,0.07,0.93,0.94
2026-01-02T12:51:54.175Z,0.06,0.07,0.93,0.94
