ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:40.088Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:44.028Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:48.069Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:53.083Z,0.002,0.003,0.997,0.998
2026-01-02T12:34:59.087Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:03.110Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:09.136Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:14.142Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:17.168Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:22.248Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:27.198Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:29.092Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:31.207Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:33.109Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:35.220Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:37.111Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:39.237Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:42.124Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:43.257Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:47.272Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:48.203Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:52.165Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:53.299Z,0.002,0.003,0.997,0.998
2026-01-02T12:35:58.209Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:03.200Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:07.212Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:10.330Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:11.253Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:14.369Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:16.252Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:20.274Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:21.383Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:22.398Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:24.297Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:28.303Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:30.424Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:33.307Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:33.432Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:36.342Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:37.453Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:40.527Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:41.409Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:42.473Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:43.543Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:48.501Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:50.503Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:54.523Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:56.529Z,0.002,0.003,0.997,0.998
2026-01-02T12:36:58.465Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:02.860Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:03.486Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:05.920Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:09.598Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:11.590Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:16.528Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:16.605Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:19.535Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:19.622Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:23.561Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:24.631Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:26.582Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:27.569Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:30.680Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:31.598Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:33.623Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:37.604Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:38.614Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:43.642Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:45.636Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:49.669Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:50.686Z,0.002,0.003,0.997,0.998
2026-01-02T12:37:58.689Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:01.797Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:03.785Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:04.694Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:04.784Z,0.002,0.003,0.997,0.998
2026-01-02T12:38:08.731Z,0.002,0.003,0.997,0.998
