ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:39.345Z,0.004,0.005,0.995,0.996
2026-01-02T12:34:41.076Z,0.004,0.005,0.995,0.996
2026-01-02T12:34:45.041Z,0.004,0.005,0.995,0.996
2026-01-02T12:34:49.064Z,0.004,0.005,0.995,0.996
2026-01-02T12:34:53.076Z,0.004,0.005,0.995,0.996
2026-01-02T12:34:57.083Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:01.099Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:05.107Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:08.154Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:13.135Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:16.203Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:19.166Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:23.173Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:26.187Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:28.246Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:30.205Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:30.267Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:33.207Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:34.107Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:37.239Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:38.099Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:41.245Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:42.149Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:45.264Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:46.134Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:49.283Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:50.168Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:52.297Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:54.174Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:57.192Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:02.199Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:05.234Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:08.291Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:08.327Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:10.347Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:11.353Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:12.241Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:15.249Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:15.349Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:17.372Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:18.387Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:19.266Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:22.311Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:23.391Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:24.410Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:26.284Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:28.410Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:29.422Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:30.296Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:32.426Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:33.320Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:34.440Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:38.363Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:39.451Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:42.392Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:44.499Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:47.533Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:51.501Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:55.522Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:56.452Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:00.477Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:03.842Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:04.530Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:05.463Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:05.483Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:06.541Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:07.559Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:08.502Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:11.517Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:11.581Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:12.538Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:15.533Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:15.583Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:18.518Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:18.603Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:21.541Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:22.556Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:22.622Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:26.635Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:28.569Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:29.658Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:32.595Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:33.689Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:34.667Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:36.607Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:37.699Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:40.621Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:44.621Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:47.700Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:51.660Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:56.758Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:00.686Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:02.782Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:07.722Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:10.869Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:11.775Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:14.832Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:15.751Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:15.833Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:18.827Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:18.839Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:19.852Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:22.790Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:23.841Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:24.861Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:26.788Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:28.866Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:30.821Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:30.919Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:31.915Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:35.943Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:36.906Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:40.919Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:42.957Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:45.935Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:47.955Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:49.958Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:52.947Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:53.968Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:56.993Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:58.982Z,0.004,0.005,0.995,0.996
