ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:47.145Z,0,0.001,0.999,1
2026-01-02T12:34:50.070Z,0,0.001,0.999,1
2026-01-02T12:34:56.230Z,0,0.001,0.999,1
2026-01-02T12:35:04.164Z,0,0.001,0.999,1
2026-01-02T12:35:15.146Z,0,0.001,0.999,1
2026-01-02T12:35:22.234Z,0,0.001,0.999,1
2026-01-02T12:35:29.205Z,0,0.001,0.999,1
2026-01-02T12:35:36.111Z,0,0.001,0.999,1
2026-01-02T12:35:36.226Z,0,0.001,0.999,1
2026-01-02T12:35:39.114Z,0,0.001,0.999,1
2026-01-02T12:35:41.248Z,0,0.001,0.999,1
2026-01-02T12:35:45.149Z,0,0.001,0.999,1
2026-01-02T12:35:49.270Z,0,0.001,0.999,1
2026-01-02T12:35:53.166Z,0,0.001,0.999,1
2026-01-02T12:35:55.319Z,0,0.001,0.999,1
2026-01-02T12:36:05.193Z,0,0.001,0.999,1
2026-01-02T12:36:10.231Z,0,0.001,0.999,1
2026-01-02T12:36:14.356Z,0,0.001,0.999,1
2026-01-02T12:36:19.256Z,0,0.001,0.999,1
2026-01-02T12:36:21.571Z,0,0.001,0.999,1
2026-01-02T12:36:25.307Z,0,0.001,0.999,1
2026-01-02T12:36:26.418Z,0,0.001,0.999,1
2026-01-02T12:36:31.316Z,0,0.001,0.999,1
2026-01-02T12:36:35.458Z,0,0.001,0.999,1
2026-01-02T12:36:38.339Z,0,0.001,0.999,1
2026-01-02T12:36:41.502Z,0,0.001,0.999,1
2026-01-02T12:36:45.397Z,0,0.001,0.999,1
2026-01-02T12:36:53.547Z,0,0.001,0.999,1
2026-01-02T12:36:59.525Z,0,0.001,0.999,1
2026-01-02T12:37:04.491Z,0,0.001,0.999,1
2026-01-02T12:37:08.576Z,0,0.001,0.999,1
2026-01-02T12:37:11.504Z,0,0.001,0.999,1
2026-01-02T12:37:16.522Z,0,0.001,0.999,1
2026-01-02T12:37:18.631Z,0,0.001,0.999,1
2026-01-02T12:37:22.626Z,0,0.001,0.999,1
2026-01-02T12:37:29.614Z,0,0.001,0.999,1
2026-01-02T12:37:30.583Z,0,0.001,0.999,1
2026-01-02T12:37:33.664Z,0,0.001,0.999,1
2026-01-02T12:37:39.648Z,0,0.001,0.999,1
2026-01-02T12:37:49.654Z,0,0.001,0.999,1
2026-01-02T12:37:54.693Z,0,0.001,0.999,1
2026-01-02T12:38:06.812Z,0,0.001,0.999,1
2026-01-02T12:38:07.719Z,0,0.001,0.999,1
2026-01-02T12:38:07.789Z,0,0.001,0.999,1
2026-01-02T12:38:13.821Z,0,0.001,0.999,1
2026-01-02T12:38:14.753Z,0,0.001,0.999,1
2026-01-02T12:38:17.852Z,0,0.001,0.999,1
2026-01-02T12:38:21.852Z,0,0.001,0.999,1
2026-01-02T12:38:22.776Z,0,0.001,0.999,1
2026-01-02T12:38:28.876Z,0,0.001,0.999,1
2026-01-02T12:38:29.809Z,0,0.001,0.999,1
2026-01-02T12:38:34.929Z,0,0.001,0.999,1
2026-01-02T12:38:41.909Z,0,0.001,0.999,1
2026-01-02T12:38:45.970Z,0,0.001,0.999,1
2026-01-02T12:38:56.955Z,0,0.001,0.999,1
2026-01-02T12:39:01.143Z,0,0.001,0.999,1
