ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:46.043Z,0.004,0.005,0.995,0.996
2026-01-02T12:34:50.063Z,0.004,0.005,0.995,0.996
2026-01-02T12:34:56.088Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:04.096Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:15.159Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:21.185Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:29.205Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:35.099Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:36.233Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:39.110Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:40.243Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:45.132Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:48.273Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:53.171Z,0.004,0.005,0.995,0.996
2026-01-02T12:35:55.300Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:04.222Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:09.279Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:13.340Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:18.266Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:22.380Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:25.289Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:26.392Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:31.301Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:35.458Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:37.337Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:41.469Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:44.409Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:53.501Z,0.004,0.005,0.995,0.996
2026-01-02T12:36:58.533Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:03.516Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:08.564Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:10.510Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:15.537Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:17.681Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:21.627Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:29.592Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:30.579Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:32.670Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:39.608Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:48.659Z,0.004,0.005,0.995,0.996
2026-01-02T12:37:53.678Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:06.727Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:06.783Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:06.835Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:13.832Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:14.747Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:17.846Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:17.879Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:21.771Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:29.811Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:29.862Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:34.923Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:39.922Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:44.936Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:56.011Z,0.004,0.005,0.995,0.996
2026-01-02T12:38:59.967Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:02.115Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:03.001Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:07.939Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:08.029Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:12.995Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:19.043Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:19.997Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:20.011Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:27.077Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:31.036Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:35.110Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:36.056Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:42.077Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:44.119Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:46.140Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:57.178Z,0.004,0.005,0.995,0.996
2026-01-02T12:39:57.179Z,0.004,0.005,0.995,0.996
2026-01-02T12:40:02.187Z,0.004,0.005,0.995,0.996
2026-01-02T12:40:08.188Z,0.004,0.005,0.995,0.996
2026-01-02T12:40:17.219Z,0.004,0.005,0.995,0.996
