ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:42.068Z,0.998,0.999,0.001,0.002
2026-01-02T12:34:47.051Z,0.998,0.999,0.001,0.002
2026-01-02T12:34:51.075Z,0.998,0.999,0.001,0.002
2026-01-02T12:34:58.090Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:06.108Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:11.140Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:18.235Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:24.180Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:28.348Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:32.086Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:34.220Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:35.325Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:39.240Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:40.203Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:44.259Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:47.133Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:50.284Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:54.286Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:55.187Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:00.190Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:07.249Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:13.243Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:13.355Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:16.367Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:17.262Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:23.274Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:25.400Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:29.329Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:31.416Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:34.333Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:38.443Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:39.356Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:43.539Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:45.488Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:49.494Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:57.534Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:06.464Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:06.486Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:06.566Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:06.873Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:10.580Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:12.518Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:13.588Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:14.586Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:20.545Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:20.632Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:23.638Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:24.563Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:28.646Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:31.658Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:35.604Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:41.626Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:46.680Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:52.679Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:55.728Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:57.680Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:01.700Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:04.725Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:05.791Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:09.729Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:09.844Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:10.727Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:12.822Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:16.831Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:20.773Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:22.886Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:25.799Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:27.803Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:27.875Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:34.953Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:42.916Z,0.998,0.999,0.001,0.002
