ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:46.048Z,0.037,0.038,0.962,0.963
2026-01-02T12:34:50.064Z,0.037,0.038,0.962,0.963
2026-01-02T12:34:56.080Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:04.116Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:15.145Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:21.197Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:29.211Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:36.157Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:36.228Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:39.121Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:41.255Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:45.140Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:48.280Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:53.166Z,0.037,0.038,0.962,0.963
2026-01-02T12:35:55.293Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:04.225Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:10.230Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:13.358Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:18.307Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:21.379Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:25.297Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:27.399Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:31.308Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:35.444Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:38.339Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:41.466Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:44.438Z,0.037,0.038,0.962,0.963
2026-01-02T12:36:53.518Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:04.517Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:04.528Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:08.579Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:10.516Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:16.528Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:18.601Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:22.612Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:29.591Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:30.579Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:33.659Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:39.629Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:49.657Z,0.037,0.038,0.962,0.963
2026-01-02T12:37:54.676Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:06.723Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:06.835Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:07.806Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:12.844Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:14.749Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:18.857Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:20.893Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:21.785Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:29.815Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:29.883Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:34.912Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:40.947Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:45.932Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:56.965Z,0.037,0.038,0.962,0.963
2026-01-02T12:38:58.962Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:03.066Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:03.965Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:08.043Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:08.949Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:13.969Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:19.996Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:20.079Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:21.039Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:27.077Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:30.033Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:36.099Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:37.106Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:42.076Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:45.108Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:46.153Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:57.177Z,0.037,0.038,0.962,0.963
2026-01-02T12:39:58.156Z,0.037,0.038,0.962,0.963
2026-01-02T12:40:02.208Z,0.037,0.038,0.962,0.963
2026-01-02T12:40:09.198Z,0.037,0.038,0.962,0.963
2026-01-02T12:40:17.216Z,0.037,0.038,0.962,0.963
2026-01-02T12:40:26.274Z,0.037,0.038,0.962,0.963
2026-01-02T12:40:34.279Z,0.037,0.038,0.962,0.963
2026-01-02T12:40:44.375Z,0.037,0.038,0.962,0.963
