ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:46.068Z,0.004,0.006,0.994,0.996
2026-01-02T12:34:50.058Z,0.004,0.006,0.994,0.996
2026-01-02T12:34:55.094Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:04.145Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:15.145Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:21.164Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:29.205Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:35.095Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:35.225Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:39.105Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:40.252Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:44.139Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:48.276Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:53.171Z,0.004,0.006,0.994,0.996
2026-01-02T12:35:55.300Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:04.218Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:09.232Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:13.364Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:18.276Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:20.387Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:25.284Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:26.409Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:30.341Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:35.444Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:37.353Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:40.479Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:44.395Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:52.507Z,0.004,0.006,0.994,0.996
2026-01-02T12:36:58.531Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:03.505Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:08.562Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:10.520Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:14.555Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:17.677Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:21.611Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:29.577Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:30.573Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:32.659Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:39.620Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:48.664Z,0.004,0.006,0.994,0.996
2026-01-02T12:37:53.703Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:06.741Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:07.792Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:07.803Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:13.832Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:14.747Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:17.846Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:19.837Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:21.785Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:28.891Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:29.825Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:33.887Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:39.922Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:44.962Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:55.982Z,0.004,0.006,0.994,0.996
2026-01-02T12:38:59.985Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:01.997Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:03.037Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:07.008Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:07.964Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:12.980Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:19.047Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:20.998Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:21.003Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:27.077Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:30.033Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:35.108Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:35.147Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:42.082Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:45.137Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:46.142Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:56.178Z,0.004,0.006,0.994,0.996
2026-01-02T12:39:57.141Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:01.211Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:08.193Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:16.246Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:26.262Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:33.283Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:44.335Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:52.372Z,0.004,0.006,0.994,0.996
2026-01-02T12:40:55.433Z,0.004,0.006,0.994,0.996
2026-01-02T12:41:02.438Z,0.005,0.006,0.994,0.995
2026-01-02T12:41:10.438Z,0.005,0.006,0.994,0.995
2026-01-02T12:41:20.486Z,0.005,0.006,0.994,0.995
2026-01-02T12:41:28.509Z,0.005,0.006,0.994,0.995
2026-01-02T12:41:44.642Z,0.005,0.006,0.994,0.995
2026-01-02T12:41:50.620Z,0.005,0.006,0.994,0.995
2026-01-02T12:41:56.677Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:00.670Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:05.710Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:09.720Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:10.707Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:16.741Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:18.727Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:33.815Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:37.811Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:40.815Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:43.869Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:48.851Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:49.851Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:55.881Z,0.005,0.006,0.994,0.995
2026-01-02T12:42:56.886Z,0.005,0.006,0.994,0.995
