ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:46.051Z,0.001,0.002,0.998,0.999
2026-01-02T12:34:50.062Z,0.001,0.002,0.998,0.999
2026-01-02T12:34:56.083Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:04.103Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:15.145Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:21.168Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:29.200Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:36.112Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:36.223Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:39.125Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:41.240Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:45.133Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:48.272Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:53.188Z,0.001,0.002,0.998,0.999
2026-01-02T12:35:55.307Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:04.219Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:10.221Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:12.359Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:18.264Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:21.395Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:25.294Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:26.410Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:31.308Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:35.452Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:37.489Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:41.461Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:44.416Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:53.533Z,0.001,0.002,0.998,0.999
2026-01-02T12:36:58.550Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:03.499Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:08.573Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:10.547Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:15.515Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:17.681Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:21.627Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:29.581Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:30.613Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:32.660Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:39.635Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:48.662Z,0.001,0.002,0.998,0.999
2026-01-02T12:37:53.679Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:05.803Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:06.723Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:06.799Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:12.826Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:14.755Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:17.846Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:21.785Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:21.849Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:29.801Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:29.909Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:33.888Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:40.919Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:45.932Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:56.961Z,0.001,0.002,0.998,0.999
2026-01-02T12:38:59.932Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:03.030Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:03.958Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:07.958Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:08.000Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:12.968Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:19.049Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:19.997Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:20.020Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:27.077Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:30.042Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:35.143Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:36.075Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:42.076Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:44.097Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:46.144Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:57.171Z,0.001,0.002,0.998,0.999
2026-01-02T12:39:58.146Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:02.198Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:08.188Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:17.229Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:26.256Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:34.277Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:44.347Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:53.426Z,0.001,0.002,0.998,0.999
2026-01-02T12:40:55.382Z,0.001,0.002,0.998,0.999
2026-01-02T12:41:02.404Z,0.001,0.002,0.998,0.999
2026-01-02T12:41:09.486Z,0.001,0.002,0.998,0.999
2026-01-02T12:41:19.467Z,0.001,0.002,0.998,0.999
2026-01-02T12:41:28.500Z,0.001,0.002,0.998,0.999
2026-01-02T12:41:44.601Z,0.001,0.002,0.998,0.999
2026-01-02T12:41:50.624Z,0.001,0.002,0.998,0.999
2026-01-02T12:41:57.664Z,0.001,0.002,0.998,0.999
