ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:40.298Z,0.003,0.004,0.996,0.997
2026-01-02T12:34:43.049Z,0.003,0.004,0.996,0.997
2026-01-02T12:34:48.056Z,0.003,0.004,0.996,0.997
2026-01-02T12:34:52.081Z,0.003,0.004,0.996,0.997
2026-01-02T12:34:59.084Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:03.173Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:09.132Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:14.139Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:17.158Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:22.264Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:27.187Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:29.093Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:31.214Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:32.100Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:35.222Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:37.110Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:38.248Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:41.169Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:43.260Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:47.269Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:48.190Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:52.171Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:53.289Z,0.003,0.004,0.996,0.997
2026-01-02T12:35:58.214Z,0.003,0.004,0.996,0.997
2026-01-02T12:36:03.217Z,0.003,0.004,0.996,0.997
2026-01-02T12:36:06.260Z,0.003,0.004,0.996,0.997
2026-01-02T12:36:08.345Z,0.003,0.004,0.996,0.997
2026-01-02T12:36:11.245Z,0.003,0.004,0.996,0.997
2026-01-02T12:36:14.365Z,0.003,0.004,0.996,0.997
2026-01-02T12:36:16.254Z,0.003,0.004,0.996,0.997
