ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:35:07.096Z,0.31,0.323,0.677,0.69
2026-01-02T12:35:07.122Z,0.31,0.323,0.677,0.69
2026-01-02T12:35:10.133Z,0.31,0.323,0.677,0.69
2026-01-02T12:35:20.174Z,0.31,0.323,0.677,0.69
2026-01-02T12:35:37.235Z,0.31,0.323,0.677,0.69
2026-01-02T12:35:46.268Z,0.31,0.324,0.676,0.69
2026-01-02T12:35:56.193Z,0.311,0.324,0.676,0.689
2026-01-02T12:35:58.300Z,0.311,0.324,0.676,0.689
2026-01-02T12:35:59.196Z,0.311,0.324,0.676,0.689
2026-01-02T12:36:04.199Z,0.311,0.323,0.677,0.689
2026-01-02T12:36:04.522Z,0.311,0.323,0.677,0.689
2026-01-02T12:36:09.343Z,0.311,0.323,0.677,0.689
2026-01-02T12:36:10.241Z,0.311,0.323,0.677,0.689
2026-01-02T12:36:27.297Z,0.301,0.323,0.677,0.699
2026-01-02T12:36:35.437Z,0.302,0.323,0.677,0.698
2026-01-02T12:36:44.464Z,0.302,0.322,0.678,0.698
2026-01-02T12:36:47.407Z,0.302,0.322,0.678,0.698
2026-01-02T12:36:53.430Z,0.302,0.322,0.678,0.698
2026-01-02T12:36:55.516Z,0.302,0.322,0.678,0.698
2026-01-02T12:36:59.472Z,0.302,0.322,0.678,0.698
2026-01-02T12:37:05.611Z,0.302,0.322,0.678,0.698
2026-01-02T12:37:07.499Z,0.302,0.322,0.678,0.698
2026-01-02T12:37:17.682Z,0.302,0.322,0.678,0.698
2026-01-02T12:37:26.652Z,0.302,0.322,0.678,0.698
2026-01-02T12:37:38.681Z,0.302,0.322,0.678,0.698
2026-01-02T12:37:45.724Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:19.816Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:31.814Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:35.836Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:36.859Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:38.915Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:39.864Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:45.869Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:47.877Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:52.005Z,0.302,0.322,0.678,0.698
2026-01-02T12:38:53.902Z,0.302,0.32,0.68,0.698
2026-01-02T12:38:58.947Z,0.302,0.318,0.682,0.698
2026-01-02T12:39:03.997Z,0.302,0.318,0.682,0.698
2026-01-02T12:39:24.046Z,0.302,0.314,0.684,0.698
2026-01-02T12:39:30.092Z,0.317,0.324,0.676,0.683
2026-01-02T12:39:50.153Z,0.317,0.323,0.677,0.683
2026-01-02T12:40:06.211Z,0.317,0.33,0.67,0.683
2026-01-02T12:40:06.236Z,0.317,0.33,0.67,0.683
2026-01-02T12:41:02.417Z,0.319,0.338,0.662,0.681
2026-01-02T12:41:10.452Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:16.451Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:17.465Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:20.456Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:21.494Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:24.489Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:29.498Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:33.582Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:34.510Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:35.533Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:40.595Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:41.612Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:43.585Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:46.603Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:49.637Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:53.682Z,0.338,0.339,0.661,0.662
2026-01-02T12:41:54.690Z,0.338,0.339,0.661,0.662
2026-01-02T12:42:03.683Z,0.338,0.339,0.661,0.662
2026-01-02T12:42:03.712Z,0.338,0.339,0.661,0.662
2026-01-02T12:42:12.718Z,0.338,0.339,0.661,0.662
2026-01-02T12:42:24.760Z,0.338,0.339,0.661,0.662
2026-01-02T12:42:34.791Z,0.338,0.339,0.661,0.662
2026-01-02T12:42:45.830Z,0.338,0.342,0.658,0.662
2026-01-02T12:43:03.922Z,0.338,0.342,0.658,0.662
2026-01-02T12:43:19.973Z,0.338,0.342,0.658,0.662
2026-01-02T12:43:34.014Z,0.338,0.342,0.658,0.662
2026-01-02T12:43:34.022Z,0.338,0.342,0.658,0.662
2026-01-02T12:43:55.093Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:11.418Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:34.461Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:37.715Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:46.521Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:46.789Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:47.751Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:52.780Z,0.338,0.344,0.656,0.662
2026-01-02T12:45:59.789Z,0.338,0.344,0.656,0.662
2026-01-02T12:46:00.549Z,0.338,0.344,0.656,0.662
2026-01-02T12:46:20.882Z,0.338,0.344,0.656,0.662
2026-01-02T12:46:23.633Z,0.338,0.344,0.656,0.662
2026-01-02T12:46:36.938Z,0.338,0.344,0.656,0.662
2026-01-02T12:46:41.746Z,0.338,0.344,0.656,0.662
2026-01-02T12:46:56.748Z,0.338,0.344,0.656,0.662
2026-01-02T12:46:58.032Z,0.338,0.344,0.656,0.662
2026-01-02T12:47:16.111Z,0.332,0.344,0.656,0.668
2026-01-02T12:47:27.877Z,0.332,0.344,0.656,0.668
2026-01-02T12:47:33.134Z,0.333,0.344,0.656,0.667
2026-01-02T12:47:41.962Z,0.333,0.344,0.656,0.667
2026-01-02T12:47:50.458Z,0.333,0.344,0.656,0.667
2026-01-02T12:47:51.968Z,0.333,0.344,0.656,0.667
2026-01-02T12:48:09.058Z,0.333,0.344,0.656,0.667
2026-01-02T12:48:20.111Z,0.333,0.344,0.656,0.667
2026-01-02T12:48:28.133Z,0.332,0.344,0.656,0.668
2026-01-02T12:48:51.484Z,0.332,0.343,0.657,0.668
2026-01-02T12:49:04.525Z,0.332,0.343,0.657,0.668
2026-01-02T12:49:26.632Z,0.332,0.343,0.657,0.668
2026-01-02T12:51:10.779Z,0.332,0.344,0.656,0.668
2026-01-02T12:51:25.825Z,0.339,0.344,0.656,0.661
2026-01-02T12:51:34.873Z,0.339,0.344,0.656,0.661
2026-01-02T12:51:51.927Z,0.339,0.344,0.656,0.661
2026-01-02T12:51:51.947Z,0.339,0.344,0.656,0.661
2026-01-02T12:51:52.202Z,0.339,0.344,0.656,0.661
2026-01-02T12:51:53.220Z,0.339,0.344,0.656,0.661
2026-01-02T12:51:59.180Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:01.184Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:06.205Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:08.216Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:11.006Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:21.253Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:24.057Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:27.306Z,0.339,0.344,0.656,0.661
2026-01-02T12:52:39.125Z,0.338,0.339,0.661,0.662
2026-01-02T12:52:46.379Z,0.338,0.339,0.661,0.662
2026-01-02T12:52:47.366Z,0.338,0.339,0.661,0.662
2026-01-02T12:52:53.212Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:01.216Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:11.456Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:15.465Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:23.297Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:27.319Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:28.521Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:41.351Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:47.602Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:50.606Z,0.338,0.339,0.661,0.662
2026-01-02T12:53:51.391Z,0.338,0.339,0.661,0.662
2026-01-02T12:54:04.478Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:15.712Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:16.715Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:19.518Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:27.544Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:29.763Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:41.818Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:49.640Z,0.338,0.344,0.656,0.662
2026-01-02T12:54:51.691Z,0.332,0.344,0.656,0.668
2026-01-02T12:54:56.874Z,0.332,0.345,0.655,0.668
2026-01-02T12:55:07.727Z,0.332,0.344,0.656,0.668
2026-01-02T12:55:15.926Z,0.333,0.344,0.656,0.667
2026-01-02T12:55:16.940Z,0.333,0.344,0.656,0.667
2026-01-02T12:55:21.779Z,0.333,0.344,0.656,0.667
2026-01-02T12:55:32.803Z,0.333,0.344,0.656,0.667
2026-01-02T12:55:36.028Z,0.333,0.344,0.656,0.667
2026-01-02T12:55:38.839Z,0.333,0.344,0.656,0.667
2026-01-02T12:55:43.848Z,0.332,0.333,0.667,0.668
2026-01-02T12:55:49.080Z,0.332,0.333,0.667,0.668
2026-01-02T12:55:52.886Z,0.332,0.333,0.667,0.668
2026-01-02T12:56:05.972Z,0.332,0.333,0.667,0.668
2026-01-02T12:56:56.318Z,0.318,0.332,0.668,0.682
2026-01-02T12:57:15.414Z,0.319,0.332,0.668,0.681
2026-01-02T12:59:40.870Z,0.281,0.327,0.673,0.719
2026-01-02T12:59:59.027Z,0.291,0.327,0.673,0.709
2026-01-02T13:00:19.127Z,0.295,0.336,0.664,0.705
2026-01-02T13:00:45.343Z,0.303,0.325,0.675,0.697
2026-01-02T13:00:50.541Z,0.304,0.323,0.677,0.696
2026-01-02T13:00:53.556Z,0.304,0.323,0.677,0.696
2026-01-02T13:00:56.392Z,0.304,0.323,0.677,0.696
2026-01-02T13:00:59.628Z,0.304,0.321,0.679,0.696
2026-01-02T13:01:00.602Z,0.304,0.321,0.679,0.696
2026-01-02T13:01:02.616Z,0.304,0.321,0.679,0.696
2026-01-02T13:01:11.550Z,0.308,0.317,0.683,0.692
2026-01-02T13:01:27.801Z,0.297,0.32,0.68,0.703
2026-01-02T13:01:43.756Z,0.306,0.312,0.688,0.694
2026-01-02T13:01:45.911Z,0.306,0.308,0.692,0.694
2026-01-02T13:02:05.030Z,0.305,0.307,0.693,0.695
2026-01-02T13:02:09.896Z,0.305,0.307,0.693,0.695
2026-01-02T13:02:19.194Z,0.305,0.307,0.693,0.695
2026-01-02T13:02:36.079Z,0.305,0.308,0.692,0.695
2026-01-02T13:02:49.369Z,0.305,0.307,0.693,0.695
2026-01-02T13:02:58.217Z,0.301,0.324,0.676,0.699
2026-01-02T13:03:04.477Z,0.301,0.334,0.676,0.699
2026-01-02T13:03:24.391Z,0.081,0.099,0.901,0.919
2026-01-02T13:03:24.598Z,0.081,0.099,0.901,0.919
2026-01-02T13:03:37.523Z,0.089,0.097,0.903,0.911
2026-01-02T13:03:40.686Z,0.08,0.097,0.903,0.92
2026-01-02T13:04:12.792Z,0.09,0.094,0.906,0.91
2026-01-02T13:04:15.914Z,0.09,0.094,0.906,0.91
2026-01-02T13:04:35.942Z,0.06,0.076,0.924,0.94
2026-01-02T13:04:36.088Z,0.06,0.076,0.924,0.94
2026-01-02T13:04:37.957Z,0.059,0.076,0.924,0.941
2026-01-02T13:04:44.013Z,0.042,0.049,0.951,0.958
2026-01-02T13:04:53.208Z,0.049,0.05,0.95,0.951
2026-01-02T13:05:18.368Z,0.114,0.156,0.841,0.886
2026-01-02T13:05:51.514Z,0.042,0.05,0.95,0.958
2026-01-02T13:05:53.648Z,0.043,0.05,0.95,0.957
2026-01-02T13:06:07.731Z,0.032,0.042,0.958,0.968
2026-01-02T13:06:11.691Z,0.03,0.042,0.958,0.97
2026-01-02T13:06:16.690Z,0.026,0.048,0.952,0.974
2026-01-02T13:06:29.901Z,0.027,0.03,0.97,0.973
2026-01-02T13:06:38.847Z,0.025,0.03,0.97,0.975
2026-01-02T13:06:42.864Z,0.025,0.03,0.97,0.975
2026-01-02T13:06:47.020Z,0.025,0.03,0.97,0.975
2026-01-02T13:07:00.000Z,0.025,0.029,0.971,0.975
