ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:43.032Z,0.998,0.999,0.001,0.002
2026-01-02T12:34:47.051Z,0.998,0.999,0.001,0.002
2026-01-02T12:34:52.073Z,0.998,0.999,0.001,0.002
2026-01-02T12:34:58.090Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:06.178Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:12.159Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:19.161Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:25.174Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:28.220Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:32.086Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:34.220Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:36.099Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:40.252Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:41.148Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:45.255Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:47.170Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:51.284Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:54.302Z,0.998,0.999,0.001,0.002
2026-01-02T12:35:56.173Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:01.192Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:08.229Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:12.363Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:14.259Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:17.372Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:18.248Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:23.309Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:27.411Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:29.324Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:31.456Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:35.330Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:38.467Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:40.389Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:44.414Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:46.500Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:49.502Z,0.998,0.999,0.001,0.002
2026-01-02T12:36:58.550Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:02.474Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:06.575Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:06.624Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:07.549Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:10.641Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:13.618Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:14.518Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:14.593Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:21.535Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:21.610Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:24.636Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:25.585Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:29.680Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:32.659Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:35.602Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:41.628Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:47.732Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:53.678Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:55.698Z,0.998,0.999,0.001,0.002
2026-01-02T12:37:57.725Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:02.714Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:05.733Z,0.998,0.999,0.001,0.002
2026-01-02T12:38:05.814Z,0.998,0.999,0.001,0.002
