ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:55.084Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:00.107Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:02.110Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:12.151Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:25.190Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:32.256Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:43.253Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:44.129Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:48.143Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:51.163Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:51.287Z,0.89,0.9,0.1,0.11
2026-01-02T12:35:57.310Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:01.211Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:02.327Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:14.255Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:21.285Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:28.397Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:32.326Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:36.441Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:40.419Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:46.426Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:46.492Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:51.425Z,0.89,0.9,0.1,0.11
2026-01-02T12:36:52.529Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:04.557Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:12.589Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:19.532Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:25.584Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:27.638Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:34.612Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:35.676Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:42.623Z,0.89,0.9,0.1,0.11
2026-01-02T12:37:59.689Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:01.702Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:10.816Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:12.751Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:24.781Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:24.865Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:30.873Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:32.822Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:46.961Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:58.963Z,0.89,0.9,0.1,0.11
2026-01-02T12:38:59.977Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:07.004Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:13.035Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:15.998Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:17.041Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:26.027Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:28.079Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:34.101Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:37.056Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:42.146Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:48.159Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:49.147Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:53.125Z,0.89,0.9,0.1,0.11
2026-01-02T12:39:57.137Z,0.89,0.9,0.1,0.11
2026-01-02T12:40:03.202Z,0.89,0.9,0.1,0.11
2026-01-02T12:40:04.197Z,0.89,0.9,0.1,0.11
2026-01-02T12:40:09.228Z,0.89,0.9,0.1,0.11
2026-01-02T12:40:19.270Z,0.89,0.9,0.1,0.11
2026-01-02T12:40:20.228Z,0.89,0.9,0.1,0.11
