ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:43.046Z,0.999,1,0,0.001
2026-01-02T12:34:46.046Z,0.999,1,0,0.001
2026-01-02T12:34:51.077Z,0.999,1,0,0.001
2026-01-02T12:34:57.141Z,0.999,1,0,0.001
2026-01-02T12:35:06.108Z,0.999,1,0,0.001
2026-01-02T12:35:11.129Z,0.999,1,0,0.001
2026-01-02T12:35:18.161Z,0.999,1,0,0.001
2026-01-02T12:35:24.175Z,0.999,1,0,0.001
2026-01-02T12:35:28.194Z,0.999,1,0,0.001
2026-01-02T12:35:31.095Z,0.999,1,0,0.001
2026-01-02T12:35:33.238Z,0.999,1,0,0.001
2026-01-02T12:35:35.098Z,0.999,1,0,0.001
2026-01-02T12:35:39.240Z,0.999,1,0,0.001
2026-01-02T12:35:40.130Z,0.999,1,0,0.001
2026-01-02T12:35:44.423Z,0.999,1,0,0.001
2026-01-02T12:35:46.180Z,0.999,1,0,0.001
2026-01-02T12:35:50.274Z,0.999,1,0,0.001
2026-01-02T12:35:54.286Z,0.999,1,0,0.001
2026-01-02T12:35:55.172Z,0.999,1,0,0.001
2026-01-02T12:36:00.199Z,0.999,1,0,0.001
2026-01-02T12:36:07.221Z,0.999,1,0,0.001
2026-01-02T12:36:12.356Z,0.999,1,0,0.001
2026-01-02T12:36:13.255Z,0.999,1,0,0.001
2026-01-02T12:36:16.367Z,0.999,1,0,0.001
2026-01-02T12:36:17.266Z,0.999,1,0,0.001
2026-01-02T12:36:23.285Z,0.999,1,0,0.001
2026-01-02T12:36:25.392Z,0.999,1,0,0.001
2026-01-02T12:36:28.313Z,0.999,1,0,0.001
2026-01-02T12:36:31.414Z,0.999,1,0,0.001
2026-01-02T12:36:34.335Z,0.999,1,0,0.001
2026-01-02T12:36:37.463Z,0.999,1,0,0.001
2026-01-02T12:36:39.348Z,0.999,1,0,0.001
2026-01-02T12:36:43.539Z,0.999,1,0,0.001
2026-01-02T12:36:45.483Z,0.999,1,0,0.001
2026-01-02T12:36:49.498Z,0.999,1,0,0.001
2026-01-02T12:36:57.523Z,0.999,1,0,0.001
2026-01-02T12:37:01.858Z,0.999,1,0,0.001
2026-01-02T12:37:02.476Z,0.999,1,0,0.001
2026-01-02T12:37:05.497Z,0.999,1,0,0.001
2026-01-02T12:37:06.567Z,0.999,1,0,0.001
2026-01-02T12:37:10.584Z,0.999,1,0,0.001
2026-01-02T12:37:12.589Z,0.999,1,0,0.001
2026-01-02T12:37:13.520Z,0.999,1,0,0.001
2026-01-02T12:37:13.785Z,0.999,1,0,0.001
2026-01-02T12:37:20.557Z,0.999,1,0,0.001
2026-01-02T12:37:20.639Z,0.999,1,0,0.001
2026-01-02T12:37:23.631Z,0.999,1,0,0.001
2026-01-02T12:37:24.558Z,0.999,1,0,0.001
2026-01-02T12:37:28.646Z,0.999,1,0,0.001
2026-01-02T12:37:31.651Z,0.999,1,0,0.001
2026-01-02T12:37:35.603Z,0.999,1,0,0.001
2026-01-02T12:37:41.613Z,0.999,1,0,0.001
2026-01-02T12:37:46.639Z,0.999,1,0,0.001
2026-01-02T12:37:52.672Z,0.999,1,0,0.001
2026-01-02T12:37:55.680Z,0.999,1,0,0.001
2026-01-02T12:37:57.680Z,0.999,1,0,0.001
2026-01-02T12:38:01.709Z,0.999,1,0,0.001
2026-01-02T12:38:04.712Z,0.999,1,0,0.001
2026-01-02T12:38:04.784Z,0.999,1,0,0.001
2026-01-02T12:38:09.735Z,0.999,1,0,0.001
2026-01-02T12:38:10.824Z,0.999,1,0,0.001
2026-01-02T12:38:10.857Z,0.999,1,0,0.001
2026-01-02T12:38:12.844Z,0.999,1,0,0.001
2026-01-02T12:38:16.771Z,0.999,1,0,0.001
