ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:35:07.134Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:07.176Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:10.144Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:20.208Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:36.247Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:46.290Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:55.185Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:56.197Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:57.313Z,0.005,0.006,0.994,0.995
2026-01-02T12:35:59.202Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:04.320Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:09.337Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:10.340Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:27.293Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:35.338Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:43.478Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:47.412Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:53.452Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:55.527Z,0.005,0.006,0.994,0.995
2026-01-02T12:36:58.463Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:05.565Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:17.680Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:25.654Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:32.586Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:38.676Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:45.708Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:46.645Z,0.005,0.006,0.994,0.995
2026-01-02T12:37:54.733Z,0.005,0.006,0.994,0.995
2026-01-02T12:38:06.733Z,0.005,0.006,0.994,0.995
2026-01-02T12:38:16.756Z,0.005,0.006,0.994,0.995
2026-01-02T12:38:34.912Z,0.005,0.006,0.994,0.995
2026-01-02T12:38:36.852Z,0.005,0.006,0.994,0.995
2026-01-02T12:38:37.912Z,0.005,0.006,0.994,0.995
2026-01-02T12:38:50.948Z,0.005,0.006,0.994,0.995
2026-01-02T12:39:03.997Z,0.005,0.006,0.994,0.995
2026-01-02T12:39:23.082Z,0.005,0.006,0.994,0.995
2026-01-02T12:39:25.027Z,0.005,0.006,0.994,0.995
2026-01-02T12:39:30.082Z,0.005,0.006,0.994,0.995
2026-01-02T12:39:41.070Z,0.005,0.006,0.994,0.995
2026-01-02T12:39:50.148Z,0.005,0.006,0.994,0.995
2026-01-02T12:39:51.125Z,0.005,0.006,0.994,0.995
2026-01-02T12:40:05.229Z,0.005,0.006,0.994,0.995
2026-01-02T12:40:06.236Z,0.005,0.006,0.994,0.995
