ts,yesBid,yesAsk,noBid,noAsk
2026-01-02T12:34:55.082Z,0,0.001,0.999,1
2026-01-02T12:35:00.099Z,0,0.001,0.999,1
2026-01-02T12:35:02.114Z,0,0.001,0.999,1
2026-01-02T12:35:12.159Z,0,0.001,0.999,1
2026-01-02T12:35:25.194Z,0,0.001,0.999,1
2026-01-02T12:35:32.211Z,0,0.001,0.999,1
2026-01-02T12:35:43.294Z,0,0.001,0.999,1
2026-01-02T12:35:44.139Z,0,0.001,0.999,1
2026-01-02T12:35:48.153Z,0,0.001,0.999,1
2026-01-02T12:35:51.173Z,0,0.001,0.999,1
2026-01-02T12:35:51.295Z,0,0.001,0.999,1
2026-01-02T12:35:57.296Z,0,0.001,0.999,1
2026-01-02T12:36:01.198Z,0,0.001,0.999,1
2026-01-02T12:36:02.342Z,0,0.001,0.999,1
2026-01-02T12:36:15.244Z,0,0.001,0.999,1
2026-01-02T12:36:21.323Z,0,0.001,0.999,1
2026-01-02T12:36:28.415Z,0,0.001,0.999,1
2026-01-02T12:36:32.332Z,0,0.001,0.999,1
2026-01-02T12:36:36.461Z,0,0.001,0.999,1
2026-01-02T12:36:41.384Z,0,0.001,0.999,1
2026-01-02T12:36:46.411Z,0,0.001,0.999,1
2026-01-02T12:36:46.490Z,0,0.001,0.999,1
2026-01-02T12:36:51.419Z,0,0.001,0.999,1
2026-01-02T12:36:52.513Z,0,0.001,0.999,1
2026-01-02T12:37:05.556Z,0,0.001,0.999,1
2026-01-02T12:37:12.598Z,0,0.001,0.999,1
2026-01-02T12:37:18.553Z,0,0.001,0.999,1
2026-01-02T12:37:25.596Z,0,0.001,0.999,1
2026-01-02T12:37:27.657Z,0,0.001,0.999,1
2026-01-02T12:37:34.633Z,0,0.001,0.999,1
2026-01-02T12:37:36.682Z,0,0.001,0.999,1
2026-01-02T12:37:42.628Z,0,0.001,0.999,1
2026-01-02T12:37:59.697Z,0,0.001,0.999,1
2026-01-02T12:38:01.709Z,0,0.001,0.999,1
2026-01-02T12:38:10.803Z,0,0.001,0.999,1
2026-01-02T12:38:12.807Z,0,0.001,0.999,1
2026-01-02T12:38:24.791Z,0,0.001,0.999,1
2026-01-02T12:38:25.875Z,0,0.001,0.999,1
2026-01-02T12:38:31.883Z,0,0.001,0.999,1
2026-01-02T12:38:32.812Z,0,0.001,0.999,1
2026-01-02T12:38:46.927Z,0,0.001,0.999,1
2026-01-02T12:38:58.978Z,0,0.001,0.999,1
2026-01-02T12:38:59.988Z,0,0.001,0.999,1
2026-01-02T12:39:07.014Z,0,0.001,0.999,1
2026-01-02T12:39:13.016Z,0,0.001,0.999,1
2026-01-02T12:39:15.998Z,0,0.001,0.999,1
2026-01-02T12:39:17.033Z,0,0.001,0.999,1
2026-01-02T12:39:25.041Z,0,0.001,0.999,1
2026-01-02T12:39:28.078Z,0,0.001,0.999,1
2026-01-02T12:39:34.101Z,0,0.001,0.999,1
2026-01-02T12:39:37.063Z,0,0.001,0.999,1
2026-01-02T12:39:43.156Z,0,0.001,0.999,1
